active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,operator_update,product_gain_max,product_gain_mean,product_log_gain_max,product_log_gain_mean,product_probes,product_start_count,product_window,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
5376,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,1.9783518990655706,0.5607851214052357,0.34113206194068396,-0.28920873731573915,1,63,2,1.0,0,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
5376,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,1.3688483821310298,0.5056245855500601,0.07849244733890601,-0.1704902027120534,1,61,4,1.0,0,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
98304,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.06695238446335644,0.04902297002021681,-1.3518867959475307,-1.5077331573949126,1,63,2,1.0,1,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
98304,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.018027287640386008,0.012199355786617634,-1.003967172250555,-1.1015930332531825,1,61,4,1.0,1,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
3840,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,1.6442328989496118,0.5767606831789134,0.24863697631402423,-0.2751639295163936,1,63,2,1.0,2,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
3840,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,2.4202377793796903,0.5557781898176758,0.22096644782095423,-0.14684650087645015,1,61,4,1.0,2,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
98304,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.06073773798764929,0.048790780211984595,-1.4005950304796944,-1.5101069570274273,1,63,2,1.0,3,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
98304,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.018378739327938112,0.011927962763488151,-0.9991401884366387,-1.1072174558244665,1,61,4,1.0,3,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
62208,64,4,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.09109411892388461,0.052082058483275025,-1.1979310165345871,-1.4774673782272125,1,63,2,1.0,4,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
62208,64,4,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.02310732583687851,0.014162117791900687,-0.9419013939839275,-1.0642961600812184,1,61,4,1.0,4,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
52992,64,5,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.08869790649607043,0.05509698992794791,-1.2112594960093754,-1.449330096786172,1,63,2,1.0,5,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
52992,64,5,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.023255857501155677,0.01398132792505666,-0.9402995607864054,-1.067508139800332,1,61,4,1.0,5,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
46080,64,6,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.08415206669717062,0.0574333434728839,-1.237564899482867,-1.4285651237858394,1,63,2,1.0,6,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
46080,64,6,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.02803339951605484,0.014818653908273662,-0.8935896599540128,-1.0529671231601683,1,61,4,1.0,6,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
22272,64,7,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.10908513970602218,0.06310167929309786,-1.1078133017155305,-1.381503948293138,1,63,2,1.0,7,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
22272,64,7,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,gpt2_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 768]",inputs_embeds,paper_style_feedback_dynamics,gpt2,direct,0.0343458679525086,0.017115377328118728,-0.8428183900132227,-1.016944490152577,1,61,4,1.0,7,128,final_hidden,2026-07-10T15:01:49.654902+00:00,nonpad_flattened,gpt2
