active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3122061091053183e-06,1.2064144812029554e-06,7.123212952819813e-08,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3500994360157437,0.0046902850944656824,norm_matched,1.0,1,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3443088846543105e-06,1.2266918929526582e-06,1.2784389014086628e-07,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3500994360157437,0.0046902850944656824,norm_matched,1.0,1,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3599936892205733e-06,1.2112247986806324e-06,1.3500536510946404e-07,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3500994360157437,0.0046902850944656824,norm_matched,1.0,1,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3426182476905524e-06,1.2077769042662112e-06,1.3712680413391354e-07,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3500994360157437,0.0046902850944656824,norm_matched,1.0,1,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.359253019472817e-06,1.2134920552853146e-06,1.3966496226203162e-07,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3500994360157437,0.0046902850944656824,norm_matched,1.0,1,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.4014386806593393e-06,1.2145937944296747e-06,1.6995460327962064e-07,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3500994360157437,0.0046902850944656824,norm_matched,1.0,1,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3509178415915812e-06,1.299821292377601e-06,2.3387258352158824e-08,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.9968327220398494,-4.95672562690481e-05,norm_matched,1.0,3,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3734958201894187e-06,1.3127547617841628e-06,2.5878128084855234e-08,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.9968327220398494,-4.95672562690481e-05,norm_matched,1.0,3,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.375368128719856e-06,1.3183794180804398e-06,2.8767777493499125e-08,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.9968327220398494,-4.95672562690481e-05,norm_matched,1.0,3,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3686887996300356e-06,1.3135064591551782e-06,2.7777552702445973e-08,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.9968327220398494,-4.95672562690481e-05,norm_matched,1.0,3,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.371016423945548e-06,1.3123692497174488e-06,2.6715108347730165e-08,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.9968327220398494,-4.95672562690481e-05,norm_matched,1.0,3,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,1.3767818245469243e-06,1.3251599284558324e-06,2.566577705920281e-08,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.9968327220398494,-4.95672562690481e-05,norm_matched,1.0,3,128,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m
