active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.031189290806651115,4.108465145691298e-05,0.07941528409719467,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6970496109974441,-0.0056390420758280985,direct,1.0,0,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.056606777012348175,4.7047877160366625e-05,0.14282210171222687,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6970496109974441,-0.0056390420758280985,direct,1.0,0,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.09472112357616425,6.0549711633939296e-05,0.23439493775367737,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6970496109974441,-0.0056390420758280985,direct,1.0,0,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.14050708711147308,6.908158684382215e-05,0.33376234769821167,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6970496109974441,-0.0056390420758280985,direct,1.0,0,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.18825682997703552,8.35112514323555e-05,0.40770184993743896,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6970496109974441,-0.0056390420758280985,direct,1.0,0,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.2885034382343292,0.0012798975221812725,0.48248863220214844,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6970496109974441,-0.0056390420758280985,direct,1.0,0,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.14491328597068787,0.00022571533918380737,0.3684561550617218,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6047990553625525,-0.007857172125290236,direct,1.0,1,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.2630895674228668,0.000256414437899366,0.662865936756134,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6047990553625525,-0.007857172125290236,direct,1.0,1,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.44045013189315796,0.00029563551652245224,1.0884699821472168,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6047990553625525,-0.007857172125290236,direct,1.0,1,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.6537612080574036,0.00033228934626094997,1.550978660583496,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6047990553625525,-0.007857172125290236,direct,1.0,1,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.8763772249221802,0.0004183730052318424,1.8955551385879517,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6047990553625525,-0.007857172125290236,direct,1.0,1,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,1.3432496786117554,0.0060498821549117565,2.2432870864868164,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6047990553625525,-0.007857172125290236,direct,1.0,1,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.02485048398375511,3.7953654100419953e-05,0.06331166625022888,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.8056415630682734,-0.003376817909720397,direct,1.0,2,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.04509102925658226,4.295690814615227e-05,0.11383413523435593,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.8056415630682734,-0.003376817909720397,direct,1.0,2,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.0754309594631195,4.795015411218628e-05,0.1867530792951584,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.8056415630682734,-0.003376817909720397,direct,1.0,2,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.11186059564352036,6.267048593144864e-05,0.26581791043281555,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.8056415630682734,-0.003376817909720397,direct,1.0,2,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.14985524117946625,7.306756742764264e-05,0.3246387839317322,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.8056415630682734,-0.003376817909720397,direct,1.0,2,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.22965160012245178,0.001029459061101079,0.38418999314308167,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.8056415630682734,-0.003376817909720397,direct,1.0,2,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.14502999186515808,0.00022922623611520976,0.3690750300884247,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6503227888821195,-0.006723225641818587,direct,1.0,3,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.26325348019599915,0.00025110787828452885,0.6638275384902954,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6503227888821195,-0.006723225641818587,direct,1.0,3,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_normal,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 128, 512]",inputs_embeds,0.4405969977378845,0.0002999031275976449,1.0896631479263306,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.6503227888821195,-0.006723225641818587,direct,1.0,3,128,final_hidden,2026-07-10T14:47:28.970617+00:00,nonpad_flattened,EleutherAI/pythia-70m
