active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,4.0591254234313965,0.5575387477874756,4.882927894592285,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09995670781194849,-0.03598465794706708,residual,0.1,0,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,7.904897212982178,1.1314914226531982,9.335110664367676,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09995670781194849,-0.03598465794706708,residual,0.1,0,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,15.036595344543457,2.331183671951294,17.10328483581543,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09995670781194849,-0.03598465794706708,residual,0.1,0,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,27.53265380859375,4.957241058349609,28.992816925048828,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09995670781194849,-0.03598465794706708,residual,0.1,0,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,48.23974609375,11.312780380249023,43.199073791503906,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09995670781194849,-0.03598465794706708,residual,0.1,0,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,86.06304931640625,31.25905990600586,53.13355255126953,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09995670781194849,-0.03598465794706708,residual,0.1,0,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,17.405019760131836,2.411489963531494,20.891521453857422,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09122724353904374,-0.037412526617107145,residual,0.1,1,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,33.89754104614258,4.893764019012451,39.9405517578125,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09122724353904374,-0.037412526617107145,residual,0.1,1,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,64.48808288574219,10.081449508666992,73.17842102050781,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09122724353904374,-0.037412526617107145,residual,0.1,1,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_residual_alpha01_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,118.10958862304688,21.433368682861328,124.05316925048828,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.09122724353904374,-0.037412526617107145,residual,0.1,1,128,final_hidden,2026-07-10T15:35:22.758197+00:00,nonpad_flattened,EleutherAI/pythia-70m
