active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,logit_temperature,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.42862430214881897,0.427615761756897,0.00028427905635908246,1,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.2259019380076817,-0.04648919614042844,direct,1.0,0,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.0004690822388511151,2.0931140170432627e-05,0.0012969383969902992,2,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.2259019380076817,-0.04648919614042844,direct,1.0,0,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.0005848741857334971,2.2922540665604174e-05,0.0016180997481569648,4,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.2259019380076817,-0.04648919614042844,direct,1.0,0,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.0007193309720605612,2.1795829525217414e-05,0.001831317087635398,8,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.2259019380076817,-0.04648919614042844,direct,1.0,0,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.0010678027756512165,2.128888991137501e-05,0.0021681906655430794,16,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.2259019380076817,-0.04648919614042844,direct,1.0,0,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.2788183689117432,0.6434016227722168,0.34816136956214905,1,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.16486994472047564,-0.056331197803146736,direct,1.0,1,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.5248644351959229,8.166024053934962e-05,0.7003798484802246,2,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.16486994472047564,-0.056331197803146736,direct,1.0,1,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.5949916243553162,0.00011595723481150344,0.7310681939125061,4,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.16486994472047564,-0.056331197803146736,direct,1.0,1,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.7482393980026245,0.0006118121091276407,0.8096859455108643,8,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.16486994472047564,-0.056331197803146736,direct,1.0,1,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.11293363571167,0.034657467156648636,0.7851176261901855,16,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.16486994472047564,-0.056331197803146736,direct,1.0,1,64,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
