active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,logit_temperature,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.051292989403009415,9.697735237068628e-08,0.1576852798461914,1,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00036572909218064535,-0.24730055262294,direct,1.0,0,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.050728458911180496,1.6856269269283075e-07,0.15216828882694244,2,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00036572909218064535,-0.24730055262294,direct,1.0,0,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.05952993780374527,1.3195091241868795e-07,0.1727849245071411,4,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00036572909218064535,-0.24730055262294,direct,1.0,0,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.06945239007472992,1.9064100342802703e-07,0.18477624654769897,8,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00036572909218064535,-0.24730055262294,direct,1.0,0,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.10417845845222473,2.242611145675255e-07,0.2181643843650818,16,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00036572909218064535,-0.24730055262294,direct,1.0,0,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,3.162418842315674,1.6789004802703857,0.838239312171936,1,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.7213604587624783,-0.010206760119432928,direct,1.0,1,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.830526828765869,1.667712688446045,0.8532087802886963,2,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.7213604587624783,-0.010206760119432928,direct,1.0,1,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.9687302112579346,1.3821996450424194,0.792517900466919,4,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.7213604587624783,-0.010206760119432928,direct,1.0,1,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,3.199819326400757,1.5834535360336304,0.6831904649734497,8,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.7213604587624783,-0.010206760119432928,direct,1.0,1,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,3.465961456298828,2.4820165634155273,0.5488645434379578,16,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.7213604587624783,-0.010206760119432928,direct,1.0,1,64,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m
