active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,logit_temperature,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer,section_value,crossing_order
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.6700553209811915e-06,direct,fixed_random,-0.004648876376450062,-0.0048917802050709724,1.0,0,64,0.2628881633281708,0.017655258998274803,4,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.00013457238674163818,0
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.939150236779824e-06,direct,fixed_random,-0.0054047368466854095,-0.005130694713443518,1.0,0,64,0.2776581346988678,0.028182541951537132,7,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.01490454375743866,1
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,5.028769010095857e-05,direct,fixed_random,-0.005070516839623451,-0.005045479163527489,1.0,0,64,0.26864221692085266,0.029556283727288246,12,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.005888625979423523,2
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.0729650714201853e-05,direct,fixed_random,-0.005124711897224188,-0.005299740470945835,1.0,0,64,0.28690019249916077,0.04539407044649124,20,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.02414660155773163,3
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,6.986577500356361e-05,direct,fixed_random,-0.00542287714779377,-0.005245532840490341,1.0,0,64,0.28299543261528015,0.04017339274287224,24,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.020241841673851013,4
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00045788654824718833,direct,fixed_random,-0.004918865393847227,-0.0053264484740793705,1.0,0,64,0.28989365696907043,0.04371742904186249,29,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.027140066027641296,5
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,6.114662028267048e-06,direct,fixed_random,-0.0007776876445859671,0.0002327414695173502,1.0,1,64,0.7495729327201843,0.16302113234996796,13,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.0010173916816711426,0
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,6.872889571241103e-06,direct,fixed_random,-0.0007022880017757416,0.0001322657335549593,1.0,1,64,0.7541995644569397,0.13639141619205475,15,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.005644023418426514,1
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.0828399354068097e-05,direct,fixed_random,-0.0005904780700802803,4.406343214213848e-05,1.0,1,64,0.7602315545082092,0.11236923933029175,17,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.011676013469696045,2
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.7883037799037993e-05,direct,fixed_random,-0.0003750259056687355,-3.5839155316352844e-05,1.0,1,64,0.7688494324684143,0.08437240123748779,19,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m,0.020293891429901123,3
