active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer,section_value,crossing_order
6272,128,0,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.00024530867813155055,direct,fixed_random,14.094633102416992,14.094627380371094,1.0,0,128,1142.313232421875,9.168525866698474e-05,58,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.0001220703125,0
6272,128,0,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.00024320592638105154,direct,fixed_random,14.094627380371094,14.094635009765625,1.0,0,128,1142.313232421875,9.898312418954447e-05,71,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.0001220703125,1
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.009635569527745247,direct,fixed_random,-16.751991271972656,-16.50065040588379,1.0,1,128,4599.38037109375,88.62641906738281,50,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.70947265625,0
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.011945386417210102,direct,fixed_random,-16.7586669921875,-16.50754737854004,1.0,1,128,4599.20751953125,88.5776138305664,54,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.53662109375,1
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.013210121542215347,direct,fixed_random,-16.766193389892578,-16.493480682373047,1.0,1,128,4599.552734375,96.34098815917969,56,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.8818359375,2
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.014702742919325829,direct,fixed_random,-16.764759063720703,-16.51388931274414,1.0,1,128,4599.0107421875,88.5242919921875,58,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.33984375,3
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.016319459304213524,direct,fixed_random,-16.771970748901367,-16.499521255493164,1.0,1,128,4599.341796875,96.28074645996094,60,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.6708984375,4
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.018295932561159134,direct,fixed_random,-16.770265579223633,-16.519649505615234,1.0,1,128,4598.783203125,88.46574401855469,62,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.1123046875,5
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.02055443823337555,direct,fixed_random,-16.77718734741211,-16.505008697509766,1.0,1,128,4599.09423828125,96.21245574951172,64,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.42333984375,6
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023279402405023575,direct,fixed_random,-16.77522850036621,-16.524877548217773,1.0,1,128,4598.5146484375,88.40524291992188,66,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.84375,7
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.026394635438919067,direct,fixed_random,-16.781736373901367,-16.50993537902832,1.0,1,128,4598.80126953125,96.13849639892578,68,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,1.13037109375,8
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.0300762839615345,direct,fixed_random,-16.779029846191406,-16.529315948486328,1.0,1,128,4598.1953125,88.3438720703125,70,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.5244140625,9
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.03426239639520645,direct,fixed_random,-16.783811569213867,-16.513273239135742,1.0,1,128,4598.451171875,96.0583267211914,72,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.7802734375,10
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.039054080843925476,direct,fixed_random,-16.777719497680664,-16.53030776977539,1.0,1,128,4597.81494140625,88.28214263916016,74,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.14404296875,11
114688,128,1,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.044280197471380234,direct,fixed_random,-16.77619171142578,-16.50971794128418,1.0,1,128,4598.03564453125,95.96012115478516,76,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,0.36474609375,12
4480,128,2,256,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_burn256,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.000154786670464091,direct,fixed_random,-11.078548431396484,-11.078548431396484,1.0,2,128,965.430908203125,8.381119550904259e-05,69,final_hidden,2026-07-10T15:20:18.886132+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B,6.103515625e-05,0
