active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
6272,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,21.772872924804688,3.1575868129730225,21.972614288330078,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.015659068187665503,-0.06494851707645607,direct,1.0,0,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,42.414249420166016,6.61564826965332,41.243343353271484,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.015659068187665503,-0.06494851707645607,direct,1.0,0,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,80.39671325683594,14.5408935546875,71.38740539550781,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.015659068187665503,-0.06494851707645607,direct,1.0,0,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,146.09042358398438,35.314414978027344,104.6087875366211,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.015659068187665503,-0.06494851707645607,direct,1.0,0,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,256.7055969238281,105.07828521728516,120.61249542236328,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.015659068187665503,-0.06494851707645607,direct,1.0,0,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,64,0,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,433.57342529296875,306.9751281738281,116.43856048583984,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.015659068187665503,-0.06494851707645607,direct,1.0,0,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,165.1072540283203,99.51531219482422,83.65587615966797,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,5.4263176167871405,0.026425949196979916,direct,1.0,1,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,193.6680908203125,26.366703033447266,209.3086700439453,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,5.4263176167871405,0.026425949196979916,direct,1.0,1,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,362.93743896484375,49.56604766845703,384.2554016113281,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,5.4263176167871405,0.026425949196979916,direct,1.0,1,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,641.5922241210938,100.35846710205078,627.6948852539062,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,5.4263176167871405,0.026425949196979916,direct,1.0,1,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,1036.020263671875,210.8459930419922,833.837158203125,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,5.4263176167871405,0.026425949196979916,direct,1.0,1,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,1666.3160400390625,602.4974365234375,857.3757934570312,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,5.4263176167871405,0.026425949196979916,direct,1.0,1,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,17.34427833557129,3.1260793209075928,8.580524444580078,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2832548872024787,-0.01970950195622238,direct,1.0,2,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,34.52434539794922,6.562361717224121,16.59098243713379,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2832548872024787,-0.01970950195622238,direct,1.0,2,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,68.36590576171875,14.48363208770752,30.942541122436523,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2832548872024787,-0.01970950195622238,direct,1.0,2,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,133.77952575683594,35.49863052368164,53.06591796875,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2832548872024787,-0.01970950195622238,direct,1.0,2,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,254.4852752685547,107.62555694580078,72.76586151123047,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2832548872024787,-0.01970950195622238,direct,1.0,2,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,64,2,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,450.99871826171875,329.1347961425781,68.8488998413086,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2832548872024787,-0.01970950195622238,direct,1.0,2,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,116.69050598144531,28.877540588378906,117.76051330566406,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,1.5951075620882165,0.0072959557970146294,direct,1.0,3,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,228.2144317626953,57.71138000488281,227.84329223632812,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,1.5951075620882165,0.0072959557970146294,direct,1.0,3,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,432.3525085449219,115.40670013427734,419.1571960449219,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,1.5951075620882165,0.0072959557970146294,direct,1.0,3,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,761.7908935546875,230.6183319091797,680.1539306640625,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,1.5951075620882165,0.0072959557970146294,direct,1.0,3,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,1215.0927734375,459.176025390625,897.27783203125,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,1.5951075620882165,0.0072959557970146294,direct,1.0,3,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,64,3,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,qwen_dynamical_edge_normal,af125240938fafbe41b2eb787f4e20ef303ef173,"[1, 128, 896]",inputs_embeds,1902.303955078125,905.4464721679688,914.8729248046875,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,1.5951075620882165,0.0072959557970146294,direct,1.0,3,128,final_hidden,2026-07-10T15:04:50.830722+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
