active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,1.0124715566635132,0.00024326224229298532,2.2214503288269043,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,1.9524964094161987,0.0004720220167655498,4.267251491546631,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,3.634321689605713,0.000980482785962522,7.873983860015869,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,6.335072994232178,0.002319029765203595,13.457859992980957,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,9.937034606933594,0.0067107658833265305,20.20815086364746,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,13.984539031982422,0.030849365517497063,25.71466636657715,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
6272,128,0,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,21.736114501953125,0.4463135004043579,30.15431022644043,64,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.2576537126707498,-0.010594834332554023,direct,1.0,0,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,97.37381744384766,89.49766540527344,4.594836235046387,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,25.33020782470703,8.75825023651123,15.09402847290039,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,41.73403549194336,2.7035090923309326,34.2651252746582,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,82.75983428955078,5.675817489624023,66.1981430053711,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,159.9224395751953,12.91157341003418,118.43330383300781,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,282.42510986328125,38.948612213134766,173.09390258789062,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
114688,128,1,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,463.81390380859375,211.75477600097656,168.29103088378906,64,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.030228397810875392,-0.027335730246612195,direct,1.0,1,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,128,2,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,1.0172910690307617,0.0002050650946330279,2.2725722789764404,1,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023795646977269127,-0.029205098555841535,direct,1.0,2,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,128,2,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,1.9594030380249023,0.0004092339950148016,4.360744476318359,2,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023795646977269127,-0.029205098555841535,direct,1.0,2,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,128,2,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,3.6385269165039062,0.0008520099800080061,8.029007911682129,4,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023795646977269127,-0.029205098555841535,direct,1.0,2,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,128,2,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,6.314675331115723,0.0020287230145186186,13.664523124694824,8,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023795646977269127,-0.029205098555841535,direct,1.0,2,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,128,2,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,9.839046478271484,0.005933956243097782,20.376174926757812,16,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023795646977269127,-0.029205098555841535,direct,1.0,2,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
4480,128,2,64,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,128,qwen_dynamical_edge_normal_long,0be219064d7f2de285c4637dbbf99d87feb1bdfb,"[1, 128, 896]",inputs_embeds,13.765094757080078,0.02752603404223919,25.770540237426758,32,paper_style_feedback_dynamics,Qwen/Qwen2.5-0.5B,0.023795646977269127,-0.029205098555841535,direct,1.0,2,128,final_hidden,2026-07-10T15:12:24.317889+00:00,nonpad_flattened,Qwen/Qwen2.5-0.5B
