checkpoint,training_step,train_loss,test_loss,test_minus_train,train_predicted_tokens,test_predicted_tokens,hard_natural_language_loss,hard_minus_test,hard_minus_train,hard_predicted_tokens
step0,0,11.093740815107063,11.097257944897079,0.003517129790015616,32146,31987,11.148535406778729,0.051277461881650055,0.05479459167166567,32256
step1000,1000,4.569113337110288,4.5565491067311115,-0.012564230379176422,32146,31987,4.591365746798969,0.03481664006785756,0.02225240968868114,32256
step5000,5000,3.7626033488188,3.7285566745271126,-0.034046674291687395,32146,31987,3.90439631281391,0.1758396382867975,0.1417929639951101,32256
step9000,9000,3.6765791850818945,3.634884753760763,-0.041694431321131376,32146,31987,3.8176327364312277,0.18274798267046455,0.14105355134933317,32256
step10000,10000,3.6673331027202125,3.6285039891179087,-0.03882911360230379,32146,31987,3.8448780410819583,0.21637405196404957,0.17754493836174579,32256
step13000,13000,3.6486580114199083,3.600398649185347,-0.04825936223456129,32146,31987,3.8090432513327825,0.20864460214743552,0.16038523991287423,32256
step16000,16000,3.6320164194002036,3.57926635325978,-0.052750066140423435,32146,31987,3.778624236110657,0.19935788285087686,0.14660781671045342,32256
step17000,17000,3.6189335044775874,3.5775626626165122,-0.0413708418610752,32146,31987,3.7826097572133657,0.20504709459685344,0.16367625273577824,32256
step21000,21000,3.6150815517909938,3.565966715529297,-0.04911483626169666,32146,31987,3.7677088637673664,0.20174214823806924,0.15262731197637258,32256
step25000,25000,3.617561320633165,3.5724779262537356,-0.04508339437942954,32146,31987,3.759436536402929,0.18695861014919357,0.14187521576976403,32256
step29000,29000,3.586110587112046,3.5334199187523554,-0.05269066835969083,32146,31987,3.7610325098983823,0.22761259114602694,0.17492192278633611,32256
step33000,33000,3.582041645779856,3.533059792225391,-0.04898185355446527,32146,31987,3.7433503504310335,0.21029055820564269,0.16130870465117741,32256
step37000,37000,3.5735607436173056,3.5226761522799044,-0.0508845913374012,32146,31987,3.7385648652201606,0.21588871294025624,0.16500412160285505,32256
step41000,41000,3.5883230955059466,3.543408486195167,-0.04491460931077951,32146,31987,3.736699088934868,0.193290602739701,0.1483759934289215,32256
step45000,45000,3.5502321658267664,3.5041549113280746,-0.04607725449869182,32146,31987,3.7007692721154957,0.19661436078742112,0.1505371062887293,32256
step49000,49000,3.5644218029724017,3.516728550286069,-0.047693252686332954,32146,31987,3.739733321562646,0.22300477127657725,0.1753115185902443,32256
step53000,53000,3.568972817029771,3.5235889469518455,-0.04538387007792544,32146,31987,3.7242460302890295,0.2006570833371839,0.15527321325925847,32256
step57000,57000,3.561958063607758,3.5225041634212024,-0.03945390018655548,32146,31987,3.7590036612181437,0.23649949779694124,0.19704559761038576,32256
step61000,61000,3.5591923384321418,3.5334854879685467,-0.02570685046359511,32146,31987,3.7350576437181897,0.20157215574964304,0.17586530528604793,32256
step65000,65000,3.62760870830351,3.584328302748411,-0.043280405555099044,32146,31987,3.7401965575085745,0.15586825476016353,0.11258784920506448,32256
step69000,69000,3.5724520358435288,3.531836919981023,-0.04061511586250566,32146,31987,3.7629122991883563,0.23107537920733323,0.19046026334482757,32256
step73000,73000,3.5666260004622083,3.525935214208402,-0.04069078625380618,32146,31987,3.7578241758876376,0.23188896167923545,0.19119817542542927,32256
step77000,77000,3.5812904979967115,3.5418834724441774,-0.03940702555253406,32146,31987,3.7604551128451784,0.21857164040100097,0.1791646148484669,32256
step81000,81000,3.5898637139106713,3.553658065953319,-0.03620564795735248,32146,31987,3.761039049852462,0.20738098389914317,0.17117533594179069,32256
step85000,85000,3.593093160419112,3.5542366013401847,-0.038856559078927155,32146,31987,3.7619291884558543,0.20769258711566962,0.16883602803674247,32256
step89000,89000,3.616858739929446,3.5738452999389163,-0.043013439990529534,32146,31987,3.779539822585999,0.20569452264708277,0.16268108265655323,32256
step93000,93000,3.599809217918774,3.5634210372301327,-0.03638818068864147,32146,31987,3.787975424575427,0.22455438734529443,0.18816620665665296,32256
step97000,97000,3.5933899843558534,3.55539194102822,-0.03799804332763346,32146,31987,3.762406532253538,0.20701459122531807,0.1690165478976846,32256
step100000,100000,3.588982924686418,3.5510813123075886,-0.03790161237882961,32146,31987,3.7613772998253503,0.21029598751776168,0.17239437513893208,32256
step101000,101000,3.5925657572805907,3.551866624393106,-0.04069913288748461,32146,31987,3.7817528727981777,0.22988624840507166,0.18918711551758705,32256
step105000,105000,3.591036035078119,3.556414567843216,-0.03462146723490278,32146,31987,3.769066985873949,0.21265241803073298,0.1780309507958302,32256
step133000,133000,3.5861127043248024,3.5464541057522627,-0.03965859857253973,32146,31987,3.7705805890616917,0.22412648330942897,0.18446788473688924,32256
step143000,143000,3.5876182324631336,3.5515952413652396,-0.036022991097893975,32146,31987,3.757017129706958,0.20542188834171826,0.1693988972438243,32256
