checkpoint,training_step,frequency_bin,n_tokens,frequency_count_min,frequency_count_max,tokens,lyapunov_mean_median,tail_relative_step_delta_mean_median,hutchinson_frobenius_median_median,nearby_log_growth_per_step_median
step0,0,0,4,2,3,' clones':2 | ' tenants':2 | ' 469':2 | ' um':3,0.010963578886767713,0.05353071954291842,0.681401092037432,0.001077784098989486
step0,0,1,4,3,5,' Cyber':3 | ' trustworthy':3 | ' enzymatic':4 | ' contractual':5,0.007760782314745751,0.06533270469029717,0.6853422500542508,0.003351830924299952
step0,0,2,4,6,8,'idding':6 | ' herbs':6 | ' concent':7 | ' motive':8,0.00910057744801642,0.045642798739062906,0.6856795823243509,0.0014156188519671945
step0,0,3,4,8,12,' generosity':8 | ' lonely':10 | ' imagined':11 | 'ayson':12,0.00963943886581746,0.06934080593548003,0.6824831833071723,0.0005348721563361217
step0,0,4,4,14,21,' Ble':14 | ' disastrous':15 | ' critique':18 | 'pec':21,0.0035251207931827704,0.09682331815485526,0.6780949611771296,0.0001582092541885493
step0,0,5,4,22,33,' Wednesday':22 | ' cerem':24 | ' reverse':31 | ' cabinet':33,0.007947003669986354,0.06966989085441894,0.6830212227680816,0.0038872160149053423
step0,0,6,4,39,69,' Iowa':39 | ' documented':48 | ' im':56 | 'pp':69,0.006565146826659949,0.05323469082563763,0.6823213302783849,0.005921849168095031
step0,0,7,4,84,404,' emperor':84 | ' economic':113 | ' additional':222 | ' miles':404,0.008399257146775639,0.06584348852597266,0.685812764302454,0.0009263714402402655
step1000,1000,0,4,2,3,' clones':2 | ' tenants':2 | ' 469':2 | ' um':3,-0.0018880533403241864,0.02909161324476243,0.683738247496021,0.0033807667440367887
step1000,1000,1,4,3,5,' Cyber':3 | ' trustworthy':3 | ' enzymatic':4 | ' contractual':5,-0.0030934728903387553,0.03429940917197361,0.6879871176485041,0.0017033931986221006
step1000,1000,2,4,6,8,'idding':6 | ' herbs':6 | ' concent':7 | ' motive':8,-0.001957893887093387,0.04119040454990181,0.6873846167091748,-0.001550538165204405
step1000,1000,3,4,8,12,' generosity':8 | ' lonely':10 | ' imagined':11 | 'ayson':12,-0.000773959305674973,0.03320509043026843,0.6846575832405593,0.003870416816032064
step1000,1000,4,4,14,21,' Ble':14 | ' disastrous':15 | ' critique':18 | 'pec':21,-0.0005477538784902175,0.03767756593559979,0.6845965488214321,-0.0011141200917781958
step1000,1000,5,4,22,33,' Wednesday':22 | ' cerem':24 | ' reverse':31 | ' cabinet':33,-0.0037157135483538834,0.029417978694513583,0.6856917916374672,0.0015282496782615931
step1000,1000,6,4,39,69,' Iowa':39 | ' documented':48 | ' im':56 | 'pp':69,-0.0015229659762217608,0.03348738608735026,0.6855307720835956,0.00052800595745108
step1000,1000,7,4,84,404,' emperor':84 | ' economic':113 | ' additional':222 | ' miles':404,-0.0007767666758298547,0.04585825035037666,0.686988495566203,3.832077367554934e-05
step16000,16000,0,4,2,3,' clones':2 | ' tenants':2 | ' 469':2 | ' um':3,-0.01602821296913951,3.6538023096165602e-06,0.6810714372597206,9.866172827014622e-05
step16000,16000,1,4,3,5,' Cyber':3 | ' trustworthy':3 | ' enzymatic':4 | ' contractual':5,-0.017154276639882025,9.596396602003064e-06,0.6862824556012138,-0.004231332776971385
step16000,16000,2,4,6,8,'idding':6 | ' herbs':6 | ' concent':7 | ' motive':8,-0.018507591055716734,7.2466319807863775e-06,0.6850670441067903,
step16000,16000,3,4,8,12,' generosity':8 | ' lonely':10 | ' imagined':11 | 'ayson':12,-0.014389933231641505,4.179837055712217e-06,0.6826879159847705,-0.0008117976361324608
step16000,16000,4,4,14,21,' Ble':14 | ' disastrous':15 | ' critique':18 | 'pec':21,-0.014908112417490172,4.805871008589688e-06,0.6846458529285095,-0.0017505722087030196
step16000,16000,5,4,22,33,' Wednesday':22 | ' cerem':24 | ' reverse':31 | ' cabinet':33,-0.016877668614402493,2.9830257661675445e-06,0.6845411896430751,
step16000,16000,6,4,39,69,' Iowa':39 | ' documented':48 | ' im':56 | 'pp':69,-0.013461490931105215,3.88612506907967e-06,0.6834625530252554,-0.008322912062564537
step16000,16000,7,4,84,404,' emperor':84 | ' economic':113 | ' additional':222 | ' miles':404,-0.01668171913197977,3.7682759904219786e-06,0.6830027948156681,-0.0028562450475282304
step143000,143000,0,4,2,3,' clones':2 | ' tenants':2 | ' 469':2 | ' um':3,-0.24942846776577793,3.774493446973866e-08,0.46981289772595003,
step143000,143000,1,4,3,5,' Cyber':3 | ' trustworthy':3 | ' enzymatic':4 | ' contractual':5,-0.25254757908673475,3.368753550803022e-08,0.4693985545012268,
step143000,143000,2,4,6,8,'idding':6 | ' herbs':6 | ' concent':7 | ' motive':8,-0.24831965063699318,3.696129851595488e-08,0.4695343904648964,
step143000,143000,3,4,8,12,' generosity':8 | ' lonely':10 | ' imagined':11 | 'ayson':12,-0.2506918649889559,3.7018893646642407e-08,0.46939297735239754,
step143000,143000,4,4,14,21,' Ble':14 | ' disastrous':15 | ' critique':18 | 'pec':21,-0.2543993281128255,3.812709120727261e-08,0.4693966714242372,
step143000,143000,5,4,22,33,' Wednesday':22 | ' cerem':24 | ' reverse':31 | ' cabinet':33,-0.25046794764598396,4.0211024320776376e-08,0.46917556348556266,
step143000,143000,6,4,39,69,' Iowa':39 | ' documented':48 | ' im':56 | 'pp':69,-0.25477430771910753,3.715047954791433e-08,0.4694325718665189,
step143000,143000,7,4,84,404,' emperor':84 | ' economic':113 | ' additional':222 | ' miles':404,-0.250620621347585,3.5848053715091225e-08,0.46930028879744407,
