checkpoint,training_step,metric,n,excluded_numerical_floor,spearman_rho,p_value
step0,0,lyapunov_mean,32,0,-0.18767206574236706,0.3036814123067355
step0,0,tail_relative_step_delta_mean,32,0,0.026600634929270017,0.885094254611055
step0,0,hutchinson_frobenius_median,32,0,0.01669419157630049,0.927742481671229
step0,0,nearby_log_growth_per_step,32,0,0.22032663827622953,0.22561684876305868
step1000,1000,lyapunov_mean,32,0,0.190607308217321,0.2960425106543028
step1000,1000,tail_relative_step_delta_mean,32,0,0.2285820077370375,0.20826554444137285
step1000,1000,hutchinson_frobenius_median,32,0,0.15189879807886597,0.40658725129361784
step1000,1000,nearby_log_growth_per_step,32,0,-0.13392043791977315,0.46494450969128676
step16000,16000,lyapunov_mean,32,0,0.32948096781357894,0.06555253069390929
step16000,16000,tail_relative_step_delta_mean,32,0,-0.33443418949006365,0.061365336529403444
step16000,16000,hutchinson_frobenius_median,32,0,-0.0979637176015875,0.5937537103520263
step16000,16000,nearby_log_growth_per_step,8,24,-0.5000000000000001,0.20703124999999997
step143000,143000,lyapunov_mean,32,0,-0.3694736465348263,0.03741662133164559
step143000,143000,tail_relative_step_delta_mean,32,0,0.05778758622565554,0.7534050455306767
step143000,143000,hutchinson_frobenius_median,32,0,-0.6294121475394038,0.00011373369654891729
step143000,143000,nearby_log_growth_per_step,0,32,nan,nan
