checkpoint,training_step,frequency_bin,token_id,token,frequency_count,lyapunov_mean,tail_relative_step_delta_mean,hutchinson_frobenius_median,nearby_log_growth_per_step,nearby_numerical_floor
step0,0,0,21825, clones,2,0.0057151360163547275,0.05506534694192723,0.6858369473994534,0.001244731759220321,False
step0,0,1,33591, Cyber,3,0.012883623313718263,0.08194125112301841,0.6917199300023044,0.0006581049529783756,False
step0,0,2,17270,idding,6,0.00964533932016889,0.04403711552972774,0.6882624319941946,0.002137925266490146,False
step0,0,3,42548, generosity,8,0.010991430192611559,0.07377794607429981,0.6825614045054742,0.001440819992099797,False
step0,0,4,35526, Ble,14,0.005353442668271053,0.10091583710596992,0.685950488830522,0.006669244354501947,False
step0,0,5,8330, Wednesday,22,0.01283298195517896,0.06911160204655456,0.6829646646118488,0.003559947034401578,False
step0,0,6,14890, Iowa,39,0.015607680343855249,0.05730964735889283,0.6801067391119424,0.014082700689467003,False
step0,0,7,26390, emperor,84,0.008988589132648753,0.06458353957906299,0.6889280177096905,0.0008219566550683789,False
step0,0,0,31842, tenants,2,0.017563464676409096,0.051996092143909614,0.682847368345258,0.0008178194943750459,False
step0,0,1,46808, trustworthy,3,0.007052403792347424,0.052889916993351486,0.686067889838311,0.0023736644352821776,False
step0,0,2,27495, herbs,6,0.008555815575863948,0.10789614340833908,0.6858036836794359,0.0022756998452921396,False
step0,0,3,25106, lonely,10,0.009494902806396024,0.07931749538801432,0.6824049621088704,-0.000555908747488256,False
step0,0,4,37359, disastrous,15,0.012240513327107797,0.09273079920374061,0.6754478146788615,-0.0012985665486321576,False
step0,0,5,12999, cerem,24,0.012645809046743277,0.024132224948710073,0.6836537522441346,0.013151205310567286,False
step0,0,6,14290, documented,48,0.0009706154708329431,0.014513989019689722,0.6677033780211499,0.002032368198420457,False
step0,0,7,5054, economic,113,0.0078099251609025245,0.03484396635885109,0.6853959417667488,0.0065092776878374016,False
step0,0,0,40089, 469,2,0.0162120217571807,0.07909786684381077,0.6799548157296061,0.0014311406877014184,False
step0,0,1,27845, enzymatic,4,0.003647111657117841,0.07777549238724286,0.6831336054508627,0.004329997413317727,False
step0,0,2,2786, concent,7,-0.001639674985120628,0.021342931992160617,0.6708951054259737,-0.007512915051663858,False
step0,0,3,18998, imagined,11,0.009783974925238895,0.06490366579666025,0.6829660047501735,0.0010080492445523513,False
step0,0,4,29254, critique,18,0.0016967989180944876,0.10745503713031257,0.6807421076753978,-0.002724691851329888,False
step0,0,5,8107, reverse,31,-0.002566494344780759,0.0848802182943254,0.6802342992840122,0.004214484995409107,False
step0,0,6,516, im,56,0.008498599098678068,0.04915973429238243,0.6851920641866796,0.006744124274163175,False
step0,0,7,3081, additional,222,0.009025894410671042,0.06710343747288233,0.6841506712446128,0.0010307862254121522,False
step0,0,0,5111, um,3,-5.360570407648242e-05,0.014886351664959477,0.6694155598633196,0.0009108364387586507,False
step0,0,1,30727, contractual,5,0.008469160837144078,0.03855339868095457,0.6846166102701905,0.0053868988345697165,False
step0,0,2,23778, motive,8,0.009895036779365794,0.04724848194839806,0.685555480969266,0.000693312437444243,False
step0,0,3,45487,ayson,12,0.0005391269813816525,0.02225516322842244,0.674922960872552,6.169506811989209e-05,False
step0,0,4,1553,pec,21,-0.003632379304941081,0.01579902767284543,0.6720925917865628,0.0016149850570092562,False
step0,0,5,19211, cabinet,33,0.0032481982932294298,0.07022817966228333,0.6830777809243145,0.0029246437993758435,False
step0,0,6,377,pp,69,0.004631694554641829,0.06414311360624704,0.6845359214448274,0.005099574062026887,False
step0,0,7,6574, miles,404,0.005377291200027836,0.10730191187716397,0.6862295868381592,-0.0018281343258851246,False
step1000,1000,0,21825, clones,2,-0.0067245062712096215,0.02557000640777743,0.6853427601596993,0.0005165548921212451,False
step1000,1000,1,33591, Cyber,3,0.00042080146090148283,0.03777966256203673,0.6845075788969444,0.001279218728337446,False
step1000,1000,2,17270,idding,6,-0.002403804363670684,0.042064462738187806,0.6874694579510547,-0.002017219687583258,False
step1000,1000,3,42548, generosity,8,-0.005751980401196645,0.03665882159529441,0.684436278700141,-0.003152530468028879,False
step1000,1000,4,35526, Ble,14,0.0005119733815359053,0.03698786657645298,0.6847377032761258,-0.0011012572302353148,False
step1000,1000,5,8330, Wednesday,22,-0.0005917338275845711,0.03305093890876103,0.6842910534535287,-6.819832612900721e-05,False
step1000,1000,6,14890, Iowa,39,-0.0034293032081197106,0.02316635983249833,0.6860004309444439,0.0007119368789695625,False
