checkpoint,target_step,interval,n_tokens,median_center_tail_relative_radius,across_token_center_distance_relative_mean,across_token_pairwise_distance_max,median_cosine_similarity,median_lm_top1_probability,unique_cosine_neighbors,unique_lm_top1,runtime_seconds
step0,0,baseline,8,0.6066886186599731,0.7722393870353699,27.02121925354004,0.19192689657211304,0.00017809547716751695,7,6,3.9486870393157005
step1000,1000,endpoint,8,0.4514285624027252,0.24971507489681244,14.146844863891602,0.19205687940120697,0.09670166671276093,4,2,2.6389016807079315
step5000,4750,1000_16000_interp1,8,0.1699908971786499,0.0948239117860794,10.171204566955566,0.21125926822423935,0.08126504719257355,1,1,2.9032771959900856
step9000,8500,1000_16000_interp2,8,0.0027137562865391374,6.752373883500695e-05,0.006257255561649799,0.1635989174246788,0.21950072050094604,1,1,2.7550607658922672
step10000,10000,local_fine_scan,8,0.2044036164879799,0.010234842076897621,0.8054478764533997,0.16882608830928802,0.11917993053793907,1,1,2.696190468966961
step13000,12250,1000_16000_interp3,8,3.0787762739237223e-07,1.0199385513942616e-07,6.599737844226183e-06,0.18877267837524414,0.08578620851039886,1,1,2.9225329123437405
step16000,16000,endpoint,8,2.8197825486131478e-05,5.103481726109749e-06,0.000748308259062469,0.18475967645645142,0.17187947034835815,1,1,2.6479030773043633
step37000,37167,16000_143000_interp1,8,0.23323531448841095,0.1848183125257492,21.933368682861328,0.18016017228364944,0.08854275196790695,2,3,2.7864048928022385
step57000,58333,16000_143000_interp2,8,0.5618686676025391,0.19826483726501465,34.99088668823242,0.1725763976573944,0.06743350625038147,3,3,2.8208814971148968
step81000,79500,16000_143000_interp3,8,1.1611514239007192e-07,4.4446174740642164e-08,1.6973170204437338e-05,0.1909502148628235,0.07205338403582573,1,1,2.954800896346569
step101000,100667,16000_143000_interp4,8,1.184862199465897e-07,6.143609709852171e-08,1.696750223345589e-05,0.18763801455497742,0.024329164996743202,1,1,2.866098966449499
step121000,121833,16000_143000_interp5,8,1.2877985255954627e-07,7.348504738047268e-08,2.3637798221898265e-05,0.19818204641342163,0.023408299311995506,1,1,2.8663348518311977
step143000,143000,endpoint,8,1.1851845016508378e-07,7.079035668766664e-08,2.705702900129836e-05,0.18602266162633896,0.03661801293492317,1,1,2.859843611717224
