checkpoint,target_step,interval,selection_index,token_id,token,wikitext_train_count,final_dynamic_step,final_vector_norm,final_cosine_neighbor_token_id,final_cosine_neighbor_token,final_cosine_neighbor_wikitext_train_count,final_cosine_similarity,final_cosine_top1_top2_margin,final_cosine_vocab_zscore,final_geometry_confidence,final_cosine_top5,final_lm_top1_token_id,final_lm_top1_token,final_lm_top1_wikitext_train_count,final_lm_top1_probability,final_lm_top1_top2_logit_margin,final_lm_normalized_entropy,final_lm_top5,final_cosine_neighbor_matches_lm_top1
step0,0,baseline,0,29104, repetitive,16,768,22.627378463745117,38656, mentality,6,0.21263746917247772,0.04385155439376831,4.794966265021618,moderate_separation,"[{""token_id"": 38656, ""token"": "" mentality"", ""value"": 0.21263746917247772}, {""token_id"": 21080, ""token"": "" reversal"", ""value"": 0.1687859147787094}, {""token_id"": 5459, ""token"": "" increases"", ""value"": 0.1685161292552948}, {""token_id"": 24137, ""token"": ""380"", ""value"": 0.16801799833774567}, {""token_id"": 11423, ""token"": ""annot"", ""value"": 0.1658964455127716}]",34562, warmer,8,0.00020542195125017315,0.1380925178527832,0.9816548824310303,"[{""token_id"": 34562, ""token"": "" warmer"", ""value"": 0.00020542195125017315}, {""token_id"": 2805, ""token"": "" q"", ""value"": 0.0001789262460079044}, {""token_id"": 2809, ""token"": ""Sh"", ""value"": 0.0001720585278235376}, {""token_id"": 20972, ""token"": ""okers"", ""value"": 0.0001700930151855573}, {""token_id"": 41176, ""token"": "" rhythms"", ""value"": 0.0001614817592781037}]",False
step0,0,baseline,1,10020, semi,112,768,22.627378463745117,21140, delicate,21,0.18556566536426544,0.0049597471952438354,4.187764572777919,low_separation,"[{""token_id"": 21140, ""token"": "" delicate"", ""value"": 0.18556566536426544}, {""token_id"": 37330, ""token"": "" Alert"", ""value"": 0.1806059181690216}, {""token_id"": 40896, ""token"": ""437"", ""value"": 0.17870284616947174}, {""token_id"": 6178, ""token"": "" dose"", ""value"": 0.17321652173995972}, {""token_id"": 8162, ""token"": "" contribute"", ""value"": 0.1702277809381485}]",891, i,75,0.00021443965670187026,0.0824589729309082,0.9816100597381592,"[{""token_id"": 891, ""token"": "" i"", ""value"": 0.00021443965670187026}, {""token_id"": 47322, ""token"": ""Bridge"", ""value"": 0.00019746660836972296}, {""token_id"": 41293, ""token"": ""carb"", ""value"": 0.00019608173170126975}, {""token_id"": 30208, ""token"": "" surgeons"", ""value"": 0.0001895508321467787}, {""token_id"": 31963, ""token"": "" �"", ""value"": 0.00018275815818924457}]",False
step0,0,baseline,2,1941, evidence,284,768,22.627382278442383,35058, sucks,4,0.1801639050245285,0.0033741891384124756,4.089675445573102,low_separation,"[{""token_id"": 35058, ""token"": "" sucks"", ""value"": 0.1801639050245285}, {""token_id"": 43369, ""token"": "" verbs"", ""value"": 0.17678971588611603}, {""token_id"": 25236, ""token"": "" Muh"", ""value"": 0.1751868724822998}, {""token_id"": 34295, ""token"": ""occ"", ""value"": 0.17403632402420044}, {""token_id"": 20267, ""token"": "" injunction"", ""value"": 0.17100371420383453}]",12145, boss,25,0.0002524609153624624,0.057273149490356445,0.9816857576370239,"[{""token_id"": 12145, ""token"": "" boss"", ""value"": 0.0002524609153624624}, {""token_id"": 24483, ""token"": ""usage"", ""value"": 0.00023840794165153056}, {""token_id"": 13756, ""token"": "" attempting"", ""value"": 0.00021035865938756615}, {""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00020808856061194092}, {""token_id"": 3934, ""token"": ""osure"", ""value"": 0.00019957769836764783}]",False
step0,0,baseline,3,38730, orientations,4,768,22.627382278442383,22180,_{{{\,0,0.1859135925769806,0.008871689438819885,4.221587033683097,moderate_separation,"[{""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.1859135925769806}, {""token_id"": 41440, ""token"": ""uw"", ""value"": 0.1770419031381607}, {""token_id"": 43369, ""token"": "" verbs"", ""value"": 0.17128238081932068}, {""token_id"": 39509, ""token"": "" Abdul"", ""value"": 0.16314557194709778}, {""token_id"": 4112, ""token"": "" situation"", ""value"": 0.16171926259994507}]",16144, syntax,1,0.00036920580896548927,0.4801466464996338,0.9815424084663391,"[{""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00036920580896548927}, {""token_id"": 24638, ""token"": ""^*\\"", ""value"": 0.0002284249203512445}, {""token_id"": 14383, ""token"": "" Gil"", ""value"": 0.0002237618318758905}, {""token_id"": 48404, ""token"": "" bolster"", ""value"": 0.00020260359451640397}, {""token_id"": 15770, ""token"": ""-,"", ""value"": 0.00020089665486011654}]",False
step0,0,baseline,4,21853, workplace,10,768,22.627378463745117,27322, 310,11,0.17182722687721252,0.006118550896644592,3.8976555434609628,moderate_separation,"[{""token_id"": 27322, ""token"": "" 310"", ""value"": 0.17182722687721252}, {""token_id"": 32194, ""token"": "" assertEquals"", ""value"": 0.16570867598056793}, {""token_id"": 44793, ""token"": ""arynx"", ""value"": 0.16228412091732025}, {""token_id"": 16259, ""token"": ""eron"", ""value"": 0.16048556566238403}, {""token_id"": 18727, ""token"": "" smiling"", ""value"": 0.15988078713417053}]",35476, Boost,1,0.00028880301397293806,0.018712759017944336,0.981593668460846,"[{""token_id"": 35476, ""token"": "" Boost"", ""value"": 0.00028880301397293806}, {""token_id"": 891, ""token"": "" i"", ""value"": 0.0002834489569067955}, {""token_id"": 43823, ""token"": "" 482"", ""value"": 0.0002110046916641295}, {""token_id"": 49823, ""token"": ""wanted"", ""value"": 0.00020444665278773755}, {""token_id"": 41541, ""token"": "" Achie"", ""value"": 0.0001924955431604758}]",False
step0,0,baseline,5,5631, Govern,13,768,22.62738037109375,22180,_{{{\,0,0.17976021766662598,0.004335731267929077,4.066208291139322,low_separation,"[{""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.17976021766662598}, {""token_id"": 35487, ""token"": ""\\]\\]."", ""value"": 0.1754244863986969}, {""token_id"": 15571, ""token"": "" explaining"", ""value"": 0.17036795616149902}, {""token_id"": 8473, ""token"": "" embed"", ""value"": 0.16820308566093445}, {""token_id"": 38902, ""token"": ""gid"", ""value"": 0.16452759504318237}]",14297, Agreement,22,0.00023922108812257648,0.16193819046020508,0.9815398454666138,"[{""token_id"": 14297, ""token"": "" Agreement"", ""value"": 0.00023922108812257648}, {""token_id"": 12529, ""token"": "" Lind"", ""value"": 0.00020345606026239693}, {""token_id"": 12744, ""token"": "" unclear"", ""value"": 0.0001972791797015816}, {""token_id"": 36197, ""token"": ""émon"", ""value"": 0.00019357861310709268}, {""token_id"": 36512, ""token"": ""(?:"", ""value"": 0.00018225386156700552}]",False
step0,0,baseline,6,30736,corn,3,768,22.627378463745117,35487,\]\].,0,0.19250068068504333,0.018433213233947754,4.353743042178089,moderate_separation,"[{""token_id"": 35487, ""token"": ""\\]\\]."", ""value"": 0.19250068068504333}, {""token_id"": 38902, ""token"": ""gid"", ""value"": 0.17406746745109558}, {""token_id"": 23135, ""token"": ""Accordingly"", ""value"": 0.1639101505279541}, {""token_id"": 208, ""token"": ""\u001f"", ""value"": 0.16307327151298523}, {""token_id"": 15571, ""token"": "" explaining"", ""value"": 0.16000708937644958}]",36512,(?:,0,0.00022087449906393886,0.09694671630859375,0.981535017490387,"[{""token_id"": 36512, ""token"": ""(?:"", ""value"": 0.00022087449906393886}, {""token_id"": 14297, ""token"": "" Agreement"", ""value"": 0.00020046666031703353}, {""token_id"": 12744, ""token"": "" unclear"", ""value"": 0.00019403244368731976}, {""token_id"": 36197, ""token"": ""émon"", ""value"": 0.00019122470985166728}, {""token_id"": 12529, ""token"": "" Lind"", ""value"": 0.00019118779164273292}]",False
step0,0,baseline,7,1338,lement,18,768,22.62738037109375,41638,ähler,0,0.18419289588928223,0.00935906171798706,4.1638902823415025,moderate_separation,"[{""token_id"": 41638, ""token"": ""ähler"", ""value"": 0.18419289588928223}, {""token_id"": 9790, ""token"": "" millions"", ""value"": 0.17483383417129517}, {""token_id"": 4112, ""token"": "" situation"", ""value"": 0.17447468638420105}, {""token_id"": 42172, ""token"": "" buoy"", ""value"": 0.17210793495178223}, {""token_id"": 10532, ""token"": "" revolution"", ""value"": 0.17205211520195007}]",806, first,3990,0.00025959673803299665,0.2172093391418457,0.9814439415931702,"[{""token_id"": 806, ""token"": "" first"", ""value"": 0.00025959673803299665}, {""token_id"": 23425, ""token"": "" Catherine"", ""value"": 0.00020891346503049135}, {""token_id"": 30490, ""token"": "" casing"", ""value"": 0.00019273084762971848}, {""token_id"": 1161, ""token"": "" che"", ""value"": 0.0001750933879520744}, {""token_id"": 17466, ""token"": ""Flags"", ""value"": 0.00016726374451536685}]",False
step1000,1000,endpoint,0,29104, repetitive,16,768,28.78069305419922,48185, Α,1,0.18688175082206726,0.013630151748657227,4.184331298785199,moderate_separation,"[{""token_id"": 48185, ""token"": "" Α"", ""value"": 0.18688175082206726}, {""token_id"": 28805, ""token"": "" Rav"", ""value"": 0.17325159907341003}, {""token_id"": 16987, ""token"": "" 05"", ""value"": 0.1720702350139618}, {""token_id"": 22061, ""token"": ""eren"", ""value"": 0.16821740567684174}, {""token_id"": 37063, ""token"": "" Bengal"", ""value"": 0.1669955849647522}]",27,:,0,0.09377314895391464,0.5268278121948242,0.7000214457511902,"[{""token_id"": 27, ""token"": "":"", ""value"": 0.09377314895391464}, {""token_id"": 15, ""token"": ""."", ""value"": 0.05537070706486702}, {""token_id"": 16, ""token"": ""/"", ""value"": 0.012990913353860378}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.012101659551262856}, {""token_id"": 187, ""token"": ""\n"", ""value"": 0.00933650229126215}]",False
step1000,1000,endpoint,1,10020, semi,112,768,28.79599952697754,16987, 05,52,0.20628120005130768,0.03797335922718048,4.7229806322000965,moderate_separation,"[{""token_id"": 16987, ""token"": "" 05"", ""value"": 0.20628120005130768}, {""token_id"": 7170, ""token"": "" advance"", ""value"": 0.1683078408241272}, {""token_id"": 35376, ""token"": ""Ros"", ""value"": 0.16796338558197021}, {""token_id"": 28805, ""token"": "" Rav"", ""value"": 0.16774985194206238}, {""token_id"": 48185, ""token"": "" Α"", ""value"": 0.16555140912532806}]",27,:,0,0.0442376583814621,0.05792045593261719,0.6984584927558899,"[{""token_id"": 27, ""token"": "":"", ""value"": 0.0442376583814621}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04174818471074104}, {""token_id"": 1628, ""token"": ""“"", ""value"": 0.02361653558909893}, {""token_id"": 51, ""token"": ""R"", ""value"": 0.01892348751425743}, {""token_id"": 190, ""token"": ""\r"", ""value"": 0.017323004081845284}]",False
