checkpoint,target_step,interval,selection_index,token_id,token,wikitext_train_count,hidden_size,projection_pairs,full_tail_deviation_rms,full_tail_step_delta_mean,full_tail_step_delta_final,expected_random_2d_capture_ratio,projection_capture_ratio_min,projection_capture_ratio_median,projection_capture_ratio_max
step0,0,baseline,0,29104, repetitive,16,512,16,14.503493309020996,1.9607460498809814,2.3646488189697266,0.0625,0.040841616690158844,0.049481406807899475,0.1030707135796547
step0,0,baseline,1,10020, semi,112,512,16,13.890829086303711,1.7443616390228271,1.7042416334152222,0.0625,0.0321522019803524,0.05997031182050705,0.09626029431819916
step0,0,baseline,2,1941, evidence,284,512,16,9.299560546875,1.1765568256378174,0.9309369921684265,0.0625,0.03747684508562088,0.05595490708947182,0.07204604148864746
step0,0,baseline,3,38730, orientations,4,512,16,7.355518341064453,0.7826417684555054,0.3711204528808594,0.0625,0.026368102058768272,0.06309905648231506,0.08813828974962234
step0,0,baseline,4,21853, workplace,10,512,16,14.086857795715332,1.71513831615448,1.8915256261825562,0.0625,0.034174468368291855,0.06603991240262985,0.08856841921806335
step0,0,baseline,5,5631, Govern,13,512,16,5.695446014404297,0.5324680209159851,0.788943886756897,0.0625,0.022074028849601746,0.04956819862127304,0.07510962337255478
step0,0,baseline,6,30736,corn,3,512,16,7.588695526123047,0.9914799928665161,1.0721021890640259,0.0625,0.03184983506798744,0.05542320758104324,0.08249707520008087
step0,0,baseline,7,1338,lement,18,512,16,17.106142044067383,2.1652016639709473,2.0009853839874268,0.0625,0.029972778633236885,0.059463225305080414,0.09395438432693481
step1000,1000,endpoint,0,29104, repetitive,16,512,16,10.10740852355957,0.9838607311248779,1.0069856643676758,0.0625,0.026752019301056862,0.050706636160612106,0.09595582634210587
step1000,1000,endpoint,1,10020, semi,112,512,16,16.51601791381836,1.5320273637771606,0.7604413628578186,0.0625,0.032384149730205536,0.05790822207927704,0.09334926307201385
step1000,1000,endpoint,2,1941, evidence,284,512,16,12.650489807128906,1.0342421531677246,1.2814167737960815,0.0625,0.028442449867725372,0.04571572691202164,0.12115965783596039
step1000,1000,endpoint,3,38730, orientations,4,512,16,14.980463981628418,1.536165475845337,1.6517798900604248,0.0625,0.03473016619682312,0.053512535989284515,0.09396027028560638
step1000,1000,endpoint,4,21853, workplace,10,512,16,11.741289138793945,1.043680191040039,0.7541940808296204,0.0625,0.02682788111269474,0.05887626111507416,0.0996633768081665
step1000,1000,endpoint,5,5631, Govern,13,512,16,16.548494338989258,1.585907220840454,0.7724248170852661,0.0625,0.030669134110212326,0.058986689895391464,0.09803279489278793
step1000,1000,endpoint,6,30736,corn,3,512,16,7.814335346221924,0.8207694292068481,0.8222225308418274,0.0625,0.027343247085809708,0.054810021072626114,0.09274598211050034
step1000,1000,endpoint,7,1338,lement,18,512,16,10.702852249145508,0.9523206353187561,0.7365766167640686,0.0625,0.029410669580101967,0.06348871439695358,0.10342685133218765
step5000,4750,1000_16000_interp1,0,29104, repetitive,16,512,16,5.480486869812012,0.8442485332489014,0.9357962012290955,0.0625,0.037236906588077545,0.05219712108373642,0.10193025320768356
step5000,4750,1000_16000_interp1,1,10020, semi,112,512,16,1.2643224000930786,0.1321682333946228,0.11972041428089142,0.0625,0.038552165031433105,0.058978814631700516,0.10096582770347595
step5000,4750,1000_16000_interp1,2,1941, evidence,284,512,16,4.732149600982666,0.8067421317100525,1.0339672565460205,0.0625,0.023843197152018547,0.057379547506570816,0.10220048576593399
step5000,4750,1000_16000_interp1,3,38730, orientations,4,512,16,9.981189727783203,1.57017183303833,1.8801052570343018,0.0625,0.037550345063209534,0.058417908847332,0.09811587631702423
step5000,4750,1000_16000_interp1,4,21853, workplace,10,512,16,7.2128376960754395,1.235149621963501,1.6122939586639404,0.0625,0.02083413489162922,0.04628134146332741,0.10364044457674026
step5000,4750,1000_16000_interp1,5,5631, Govern,13,512,16,11.223135948181152,1.887526035308838,1.6136369705200195,0.0625,0.0342467837035656,0.049382615834474564,0.09462631493806839
step5000,4750,1000_16000_interp1,6,30736,corn,3,512,16,2.5749361515045166,0.40655243396759033,0.5223358869552612,0.0625,0.027219248935580254,0.0534471720457077,0.1001676470041275
step5000,4750,1000_16000_interp1,7,1338,lement,18,512,16,8.308947563171387,1.107753038406372,0.8065473437309265,0.0625,0.02757551707327366,0.05525264889001846,0.09627591818571091
