checkpoint,training_step,loss,corpus,sample_count,sequence_length,source
step0,0,11.097257944897079,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step0/loss_complete.json
step2000,2000,4.016536596072045,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step2000/loss_complete.json
step3000,3000,3.870478689486086,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step3000/loss_complete.json
step4000,4000,3.7656838572118096,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step4000/loss_complete.json
step5000,5000,3.7285566745271126,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step5000/loss_complete.json
step7000,7000,3.660170176560871,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step7000/loss_complete.json
step8000,8000,3.645067563615817,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step8000/loss_complete.json
step9000,9000,3.634884753760763,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step9000/loss_complete.json
step10000,10000,3.6285039891179087,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step10000/loss_complete.json
step13000,13000,3.600398649185347,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step13000/loss_complete.json
step21000,21000,3.565966715529297,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step21000/loss_complete.json
step25000,25000,3.5724779262537356,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step25000/loss_complete.json
step29000,29000,3.5334199187523554,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step29000/loss_complete.json
step33000,33000,3.533059792225391,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step33000/loss_complete.json
step37000,37000,3.5226761522799044,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step37000/loss_complete.json
step41000,41000,3.543408486195167,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step41000/loss_complete.json
step53000,53000,3.5235889469518455,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step53000/loss_complete.json
step57000,57000,3.5225041634212024,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step57000/loss_complete.json
step61000,61000,3.5334854879685467,the_pile_test,512,64,/home/luohaoming/model_feature_experiments/pythia_validation_corpus_loss_rescan/raw/the_pile_test/step61000/loss_complete.json
