checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,projection_1,projection_2,projection_3,projection_4,checkpoint_loss,lyapunov_exponent_window,spectral_radius,spectral_radius_eigenvalue_real,spectral_radius_eigenvalue_imag,spectral_abscissa,max_real_eigenvalue_imag,max_real_eigenvalue_abs,operator_norm_2,operator_norm_sigma2,operator_norm_over_spectral_radius,hidden_state_norm,cosine_token_id,cosine_token,cosine_wikitext_count,cosine_similarity,cosine_distance,cosine_margin,cosine_top5,euclidean_token_id,euclidean_token,euclidean_wikitext_count,euclidean_distance,euclidean_absolute_margin,euclidean_relative_margin,euclidean_top5,lm_head_token_id,lm_head_token,lm_head_wikitext_count,lm_head_probability,lm_head_probability_margin,lm_head_logit_margin,lm_head_normalized_entropy,lm_head_top5,cosine_equals_euclidean,cosine_equals_lm_head,euclidean_equals_lm_head,runtime_seconds,jacobian_frobenius_norm
step13000,0,256,256,0,21825, clones,2,0,-1.4055768188604816,-1.288386780461017,0.2802673308930357,-2.153288993324892,3.600398649185347,-0.037318021059036255,0.9516380429267883,0.9516380429267883,0.0,0.9516380429267883,0.0,0.9516380429267883,1.8363221883773804,1.7720088958740234,1.9296435117721558,41.21992874145508,41741,escap,1,0.18877285718917847,0.8112271428108215,0.01983088254928589,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877285718917847}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.16894197463989258}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.16790813207626343}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601859033107758}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453075408935547}]",41741,escap,1,40.96491241455078,0.03478240966796875,0.0008490780919041829,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.96491241455078}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99969482421875}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.0002555847168}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.003116607666016}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.007137298583984}]",187,"
",1,0.08578705787658691,0.0014884546399116516,0.017502784729003906,0.5448954105377197,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578705787658691}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429860323667526}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797915741801262}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.033254675567150116}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124986052513123}]",True,False,False,0.34101587533950806,15.174323081970215
step13000,0,256,256,1,23778, motive,8,2,-1.4055767002898252,-1.288386743461174,0.2802684426985075,-2.1532890343081954,3.600398649185347,-0.03348248451948166,0.9516424536705017,0.9516424536705017,0.0,0.9516424536705017,0.0,0.9516424536705017,1.836266040802002,1.7719907760620117,1.9295755624771118,41.219932556152344,41741,escap,1,0.18877282738685608,0.8112271726131439,0.01983088254928589,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877282738685608}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.1689419448375702}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.16790811717510223}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.1660185605287552}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453075408935547}]",41741,escap,1,40.96491622924805,0.034778594970703125,0.0008489848917565215,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.96491622924805}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99969482421875}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.00025939941406}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00312042236328}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00714111328125}]",187,"
",1,0.08578725159168243,0.001488618552684784,0.01750469207763672,0.5448951721191406,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578725159168243}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429863303899765}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797922447323799}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.033254653215408325}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.02712501771748066}]",True,False,False,0.3396051600575447,15.174323081970215
step13000,0,256,256,2,19211, cabinet,33,5,-1.4055772869399474,-1.2883951443253205,0.28025920677921445,-2.153271799296692,3.600398649185347,-0.04788589105010033,0.9516428709030151,0.9516428709030151,0.0,0.9516428709030151,0.0,0.9516428709030151,1.8363003730773926,1.7720319032669067,1.9296108484268188,41.21993637084961,41741,escap,1,0.1887727677822113,0.8112272322177887,0.01983068883419037,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.1887727677822113}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.16894207894802094}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.167908176779747}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601845622062683}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453078389167786}]",41741,escap,1,40.96492385864258,0.034778594970703125,0.0008489847336397699,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.96492385864258}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99970245361328}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.00026321411133}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00312423706055}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.007144927978516}]",187,"
",1,0.0857866033911705,0.0014877989888191223,0.017495155334472656,0.5448951125144958,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.0857866033911705}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429880440235138}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797931760549545}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.03325469046831131}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.02712496928870678}]",True,False,False,0.35508549213409424,15.174325942993164
step13000,0,256,256,3,6574, miles,404,7,-1.4055787974106262,-1.2883992920171952,0.28025442348180185,-2.1532643826296725,3.600398649185347,-0.032355885952711105,0.9516422152519226,0.9516422152519226,0.0,0.9516422152519226,0.0,0.9516422152519226,1.836268424987793,1.77201247215271,1.9295785427093506,41.21993637084961,41741,escap,1,0.18877273797988892,0.8112272620201111,0.0198306143283844,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877273797988892}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.16894212365150452}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.167908176779747}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601841151714325}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453078389167786}]",41741,escap,1,40.96492385864258,0.034778594970703125,0.0008489847336397699,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.96492385864258}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99970245361328}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.00026321411133}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00312423706055}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.007144927978516}]",187,"
",1,0.0857863649725914,0.0014875531196594238,0.017492294311523438,0.5448951125144958,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.0857863649725914}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429881185293198}, {""token_id"": 15, ""token"": ""."", ""value"": 0.047979362308979034}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.033254723995923996}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.02712494693696499}]",True,False,False,0.32748929038643837,15.17432689666748
step13000,256,512,512,0,21825, clones,2,0,-1.4055787371112956,-1.288401136282164,0.28025354211199816,-2.1532592476546912,3.600398649185347,-0.04957374930381775,0.9516421556472778,0.9516421556472778,0.0,0.9516421556472778,0.0,0.9516421556472778,1.8363274335861206,1.7720016241073608,1.9296406507492065,41.21994400024414,41741,escap,1,0.18877267837524414,0.8112273216247559,0.019830554723739624,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877267837524414}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.16894212365150452}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.16790814697742462}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601835191249847}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453079879283905}]",41741,escap,1,40.964927673339844,0.03478240966796875,0.0008490777756359935,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.964927673339844}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99971008300781}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.00027084350586}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00313186645508}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00715255737305}]",187,"
",1,0.08578614145517349,0.00148715078830719,0.017487525939941406,0.5448949337005615,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578614145517349}, {""token_id"": 13, ""token"": "","", ""value"": 0.0842989906668663}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797942191362381}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.03325469791889191}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124950662255287}]",True,False,False,0.6502454653382301,15.174327850341797
step13000,256,512,512,1,23778, motive,8,2,-1.405578549160312,-1.2884009377995793,0.2802525904945127,-2.1532610302187565,3.600398649185347,-0.04956477880477905,0.9516417980194092,0.9516417980194092,0.0,0.9516417980194092,0.0,0.9516417980194092,1.8363102674484253,1.7720038890838623,1.9296233654022217,41.21994400024414,41741,escap,1,0.18877266347408295,0.811227336525917,0.01983049511909485,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877266347408295}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.1689421683549881}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.16790816187858582}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601835191249847}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453078389167786}]",41741,escap,1,40.964927673339844,0.03478240966796875,0.0008490777756359935,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.964927673339844}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99971008300781}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.00027084350586}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00313186645508}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00715255737305}]",187,"
",1,0.0857861265540123,0.00148715078830719,0.017487525939941406,0.5448949337005615,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.0857861265540123}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429897576570511}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797928035259247}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.033254727721214294}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124973013997078}]",True,False,False,0.7151743024587631,15.174325942993164
step13000,256,512,512,2,19211, cabinet,33,5,-1.4055775622033462,-1.2884009253616606,0.28025235132239057,-2.1532597845873473,3.600398649185347,-0.04973123222589493,0.9516424536705017,0.9516424536705017,0.0,0.9516424536705017,0.0,0.9516424536705017,1.8362988233566284,1.7719707489013672,1.929610013961792,41.219940185546875,41741,escap,1,0.18877267837524414,0.8112273216247559,0.019830524921417236,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877267837524414}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.1689421534538269}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.167908176779747}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601836681365967}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453081369400024}]",41741,escap,1,40.96492385864258,0.03478240966796875,0.0008490778547030188,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.96492385864258}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99970626831055}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.000267028808594}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00312805175781}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00714874267578}]",187,"
",1,0.08578623086214066,0.0014873072504997253,0.01748943328857422,0.5448949337005615,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578623086214066}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429892361164093}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797938093543053}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.03325476869940758}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124956250190735}]",True,False,False,0.76690823584795,15.174327850341797
step13000,256,512,512,3,6574, miles,404,7,-1.4055782458453083,-1.288401313754968,0.28025218923569706,-2.1532603138437105,3.600398649185347,-0.04956750199198723,0.9516414403915405,0.9516414403915405,0.0,0.9516414403915405,0.0,0.9516414403915405,1.8363157510757446,1.771983027458191,1.929629921913147,41.21994400024414,41741,escap,1,0.18877267837524414,0.8112273216247559,0.019830524921417236,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877267837524414}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.1689421534538269}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.16790813207626343}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601835191249847}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453076899051666}]",41741,escap,1,40.964927673339844,0.03478240966796875,0.0008490777756359935,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.964927673339844}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99971008300781}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.00027084350586}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00313186645508}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00715255737305}]",187,"
",1,0.08578620851039886,0.0014872252941131592,0.017488479614257812,0.5448949337005615,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578620851039886}, {""token_id"": 13, ""token"": "","", ""value"": 0.0842989832162857}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797932878136635}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.033254727721214294}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124948799610138}]",True,False,False,1.0443630181252956,15.17432689666748
step13000,512,768,768,0,21825, clones,2,0,-1.4055790251992726,-1.2884005662649165,0.2802522966705754,-2.153260313126638,3.600398649185347,-0.04956597834825516,0.9516417980194092,0.9516417980194092,0.0,0.9516417980194092,0.0,0.9516417980194092,1.836307168006897,1.772014856338501,1.9296201467514038,41.219940185546875,41741,escap,1,0.18877267837524414,0.8112273216247559,0.019830510020256042,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877267837524414}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.1689421683549881}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.167908176779747}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601838171482086}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453081369400024}]",41741,escap,1,40.96492385864258,0.03478240966796875,0.0008490778547030188,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.96492385864258}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99970626831055}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.000267028808594}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00312805175781}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00714874267578}]",187,"
",1,0.08578610420227051,0.0014873072504997253,0.01748943328857422,0.5448951125144958,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578610420227051}, {""token_id"": 13, ""token"": "","", ""value"": 0.08429879695177078}, {""token_id"": 15, ""token"": ""."", ""value"": 0.047979362308979034}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.03325477987527847}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124939486384392}]",True,False,False,0.3439248837530613,15.174328804016113
step13000,512,768,768,1,23778, motive,8,2,-1.405580056508599,-1.2884013782971504,0.28025346037898824,-2.153259955206979,3.600398649185347,-0.04956592619419098,0.9516454339027405,0.9516454339027405,0.0,0.9516454339027405,0.0,0.9516454339027405,1.836252212524414,1.7720280885696411,1.929555058479309,41.219940185546875,41741,escap,1,0.18877267837524414,0.8112273216247559,0.01983053982257843,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 0.18877267837524414}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 0.1689421385526657}, {""token_id"": 34458, ""token"": ""540"", ""value"": 0.1679081916809082}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 0.16601836681365967}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 0.16453078389167786}]",41741,escap,1,40.964927673339844,0.034778594970703125,0.0008489846545814162,"[{""token_id"": 41741, ""token"": ""escap"", ""value"": 40.964927673339844}, {""token_id"": 5113, ""token"": "" objects"", ""value"": 40.99970626831055}, {""token_id"": 34458, ""token"": ""540"", ""value"": 41.000267028808594}, {""token_id"": 42429, ""token"": ""dataset"", ""value"": 41.00313186645508}, {""token_id"": 15500, ""token"": ""¯"", ""value"": 41.00715255737305}]",187,"
",1,0.08578614145517349,0.00148715078830719,0.017487525939941406,0.5448949337005615,"[{""token_id"": 187, ""token"": ""\n"", ""value"": 0.08578614145517349}, {""token_id"": 13, ""token"": "","", ""value"": 0.0842989906668663}, {""token_id"": 15, ""token"": ""."", ""value"": 0.04797938093543053}, {""token_id"": 310, ""token"": "" is"", ""value"": 0.03325469791889191}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.027124950662255287}]",True,False,False,0.4835911877453327,15.174328804016113
