checkpoint,training_step,dynamic_step,window_start,window_end,checkpoint_loss,token_count,spectral_radius_median,spectral_radius_min,spectral_radius_max,spectral_abscissa_median,spectral_abscissa_min,spectral_abscissa_max,operator_norm_2_median,operator_norm_2_min,operator_norm_2_max,jacobian_frobenius_norm_median,jacobian_frobenius_norm_min,jacobian_frobenius_norm_max
step0,0,256,0,256,11.097257944897079,4,1.0035744905471802,0.9840095043182373,1.021628499031067,1.0024815797805786,0.9840095043182373,1.0167951583862305,1.3228355646133423,1.2812188863754272,1.3547420501708984,15.330277919769287,14.916282653808594,15.605077743530273
step0,0,512,256,512,11.097257944897079,4,1.0399415493011475,1.001698613166809,1.0587421655654907,1.037261426448822,1.0015316009521484,1.0587421655654907,1.363748550415039,1.355654001235962,1.382559895515442,15.648284435272217,15.532709121704102,15.736574172973633
step0,0,768,512,768,11.097257944897079,4,1.0243425965309143,1.0133577585220337,1.0729939937591553,1.0238491892814636,1.0108287334442139,1.0729939937591553,1.3529471158981323,1.324850082397461,1.3706814050674438,15.556821823120117,15.37224006652832,15.751260757446289
step0,0,1024,768,1024,11.097257944897079,4,1.0276544094085693,0.9664247632026672,1.0411866903305054,1.0241998434066772,0.9621917009353638,1.0386039018630981,1.3221436142921448,1.2702381610870361,1.3570162057876587,15.272655487060547,14.898216247558594,15.573651313781738
step2000,2000,256,0,256,4.016536596072045,4,0.985530823469162,0.9854804277420044,0.9856967329978943,0.985530823469162,0.9854804277420044,0.9856967329978943,1.4604060649871826,1.4601870775222778,1.460462212562561,14.565363883972168,14.564691543579102,14.565539360046387
step2000,2000,512,256,512,4.016536596072045,4,0.9856098294258118,0.9856052398681641,0.985611081123352,0.9856098294258118,0.9856052398681641,0.985611081123352,1.4602983593940735,1.4602770805358887,1.4603062868118286,14.565065383911133,14.565048217773438,14.565069198608398
step2000,2000,768,512,768,4.016536596072045,4,0.9856091141700745,0.9856029748916626,0.9856095314025879,0.9856091141700745,0.9856029748916626,0.9856095314025879,1.4603057503700256,1.4602916240692139,1.4603163003921509,14.565056800842285,14.565055847167969,14.565057754516602
step2000,2000,1024,768,1024,4.016536596072045,4,0.9856080412864685,0.9856048822402954,0.9856102466583252,0.9856080412864685,0.9856048822402954,0.9856102466583252,1.4602954387664795,1.4602715969085693,1.4603065252304077,14.565056800842285,14.565056800842285,14.565056800842285
step3000,3000,256,0,256,3.870478689486086,4,0.9579533040523529,0.9579514265060425,0.95795738697052,0.9579533040523529,0.9579514265060425,0.95795738697052,1.5296607613563538,1.5296498537063599,1.5296720266342163,14.217763900756836,14.217729568481445,14.217765808105469
step3000,3000,512,256,512,3.870478689486086,4,0.9579538702964783,0.9579524993896484,0.9579549431800842,0.9579538702964783,0.9579524993896484,0.9579549431800842,1.5296703577041626,1.5296683311462402,1.529672384262085,14.217774868011475,14.217774391174316,14.217775344848633
step3000,3000,768,512,768,3.870478689486086,4,0.9579508602619171,0.9579490423202515,0.9579516649246216,0.9579508602619171,0.9579490423202515,0.9579516649246216,1.529674768447876,1.5296592712402344,1.5296978950500488,14.217774391174316,14.2177734375,14.217774391174316
step3000,3000,1024,768,1024,3.870478689486086,4,0.9579508900642395,0.957948625087738,0.9579514265060425,0.9579508900642395,0.957948625087738,0.9579514265060425,1.5296574831008911,1.5296469926834106,1.5297183990478516,14.217774391174316,14.217774391174316,14.217774391174316
step4000,4000,256,0,256,3.7656838572118096,4,0.9783075153827667,0.9744533896446228,1.004256248474121,0.968809962272644,0.9584636092185974,1.0013586282730103,1.6505200862884521,1.65047025680542,1.6830675601959229,14.895059585571289,14.873857498168945,15.226232528686523
step4000,4000,512,256,512,3.7656838572118096,4,0.9841899573802948,0.9746478796005249,0.994085431098938,0.9744973182678223,0.9586291313171387,0.9906191825866699,1.6578777432441711,1.650635004043579,1.6653926372528076,14.967203140258789,14.874381065368652,15.067508697509766
step4000,4000,768,512,768,3.7656838572118096,4,0.983744889497757,0.9746477007865906,0.9936164617538452,0.9740911424160004,0.9586290121078491,0.9902479648590088,1.6571937203407288,1.6506134271621704,1.6647621393203735,14.961963653564453,14.874381065368652,15.059478759765625
step4000,4000,1024,768,1024,3.7656838572118096,4,0.9839796423912048,0.9746487736701965,0.9934420585632324,0.9743050336837769,0.9586300849914551,0.9901171922683716,1.6575365662574768,1.6506054401397705,1.6645535230636597,14.965011596679688,14.87437915802002,15.057798385620117
step5000,5000,256,0,256,3.7285566745271126,4,1.0122500658035278,0.9940896034240723,1.0247716903686523,1.0011317133903503,0.9940592050552368,1.0096310377120972,1.7426327466964722,1.737116813659668,1.7444298267364502,15.416045665740967,15.346351623535156,15.495332717895508
step5000,5000,512,256,512,3.7285566745271126,4,0.9926156103610992,0.9857277870178223,1.0002496242523193,0.9907526075839996,0.9796192646026611,0.995403528213501,1.8088799118995667,1.7213478088378906,2.1216139793395996,15.272428512573242,15.235649108886719,15.284832000732422
step5000,5000,768,512,768,3.7285566745271126,4,1.0069647431373596,0.9860697388648987,1.0134865045547485,1.006132423877716,0.9832414388656616,1.0104774236679077,1.7478086352348328,1.732907772064209,1.7693729400634766,15.372031211853027,15.260480880737305,15.529848098754883
step5000,5000,1024,768,1024,3.7285566745271126,4,1.0166015625,1.0078080892562866,1.0352500677108765,1.0071550011634827,1.0034774541854858,1.0352500677108765,1.7565273642539978,1.7308844327926636,1.999374270439148,15.415128707885742,15.375398635864258,15.54198932647705
step7000,7000,256,0,256,3.660170176560871,4,1.0674902200698853,0.9945042133331299,1.0764141082763672,1.0586665272712708,0.9825323820114136,1.0677731037139893,2.0794798135757446,1.8903937339782715,2.3173513412475586,16.260343551635742,15.099712371826172,16.491241455078125
step7000,7000,512,256,512,3.660170176560871,4,1.025407612323761,0.983629584312439,1.0321645736694336,1.0217653512954712,0.9818241596221924,1.0321645736694336,1.8605642318725586,1.8509376049041748,1.9328593015670776,15.714931964874268,15.35330867767334,16.102937698364258
step7000,7000,768,512,768,3.660170176560871,4,1.0224800109863281,0.9931647777557373,1.0676449537277222,1.0178939700126648,0.9915938377380371,1.0676449537277222,2.002131760120392,1.9297523498535156,2.0866212844848633,15.78572940826416,15.63293170928955,16.298734664916992
step7000,7000,1024,768,1024,3.660170176560871,4,1.0340916812419891,0.981390655040741,1.0860365629196167,1.033308357000351,0.973297119140625,1.0832395553588867,2.024221181869507,1.9382468461990356,2.1228647232055664,15.759987831115723,15.231983184814453,16.509340286254883
step8000,8000,256,0,256,3.645067563615817,4,1.034503996372223,0.9681237936019897,1.0756200551986694,1.0210116505622864,0.9650017023086548,1.0649304389953613,1.9186614155769348,1.762488842010498,2.2681190967559814,16.028270721435547,15.399786949157715,16.767333984375
step8000,8000,512,256,512,3.645067563615817,4,1.0489106178283691,0.9985138177871704,1.1712262630462646,1.0489106178283691,0.9916802048683167,1.1553974151611328,2.116158962249756,2.0134055614471436,2.23813533782959,16.053646087646484,15.836408615112305,17.516080856323242
step8000,8000,768,512,768,3.645067563615817,4,1.0407703518867493,0.9532197713851929,1.0724201202392578,1.0402012467384338,0.9532197713851929,1.0724201202392578,2.151154398918152,2.003105401992798,2.2604868412017822,15.924163818359375,15.142021179199219,16.2291259765625
step8000,8000,1024,768,1024,3.645067563615817,4,1.0351781249046326,0.9931890368461609,1.1040979623794556,1.024417370557785,0.9841780662536621,1.1040979623794556,2.040118634700775,1.8745273351669312,2.1486876010894775,15.637994289398193,15.457489013671875,16.54642677307129
step9000,9000,256,0,256,3.634884753760763,4,0.9927941262722015,0.9807295203208923,1.0036823749542236,0.9691392183303833,0.9607459306716919,0.9740573167800903,1.9653050303459167,1.9542903900146484,1.9965794086456299,15.707042217254639,15.637340545654297,15.799680709838867
step9000,9000,512,256,512,3.634884753760763,4,0.9929975271224976,0.9923758506774902,0.9987795352935791,0.9671412706375122,0.9657763242721558,0.9691464900970459,1.9694501757621765,1.9561482667922974,1.9737664461135864,15.717880725860596,15.692831039428711,15.743287086486816
step9000,9000,768,512,768,3.634884753760763,4,0.9943054616451263,0.9937286972999573,0.9952999353408813,0.9675210118293762,0.9670212268829346,0.9676499962806702,1.967711329460144,1.9639167785644531,1.96858549118042,15.716163635253906,15.71436595916748,15.72893238067627
step9000,9000,1024,768,1024,3.634884753760763,4,0.9944235980510712,0.9942706227302551,0.9945020079612732,0.9674218595027924,0.9673500657081604,0.967596709728241,1.9669806957244873,1.9665859937667847,1.9674173593521118,15.718679428100586,15.717551231384277,15.72116756439209
step10000,10000,256,0,256,3.6285039891179087,4,1.0058172941207886,0.9931904077529907,1.0233519077301025,0.9782834053039551,0.9638376235961914,0.9831665754318237,1.8110824227333069,1.74809730052948,1.867939829826355,15.574279308319092,15.244181632995605,15.877177238464355
step10000,10000,512,256,512,3.6285039891179087,4,0.9930839836597443,0.9580675363540649,1.0390024185180664,0.9668022990226746,0.9263105392456055,0.9920239448547363,1.8103510737419128,1.744510531425476,1.8666419982910156,15.497221946716309,15.002813339233398,15.905964851379395
step10000,10000,768,512,768,3.6285039891179087,4,0.9859436750411987,0.9588024020195007,1.021429419517517,0.9658257365226746,0.9504544734954834,0.9881718158721924,1.775119662284851,1.7561092376708984,1.7934565544128418,15.311439037322998,15.124876022338867,15.537199974060059
step10000,10000,1024,768,1024,3.6285039891179087,4,1.0065566301345825,0.9835470914840698,1.0325888395309448,0.9748148918151855,0.952360212802887,0.9884808659553528,1.8083683848381042,1.739556908607483,1.8645282983779907,15.56458568572998,15.159754753112793,15.90392017364502
step13000,13000,256,0,256,3.600398649185347,4,0.9516423344612122,0.9516380429267883,0.9516428709030151,0.9516423344612122,0.9516380429267883,0.9516428709030151,1.8362843990325928,1.836266040802002,1.8363221883773804,15.17432451248169,15.174323081970215,15.17432689666748
step13000,13000,512,256,512,3.600398649185347,4,0.9516419768333435,0.9516414403915405,0.9516424536705017,0.9516419768333435,0.9516414403915405,0.9516424536705017,1.836313009262085,1.8362988233566284,1.8363274335861206,15.174327373504639,15.174325942993164,15.174327850341797
step13000,13000,768,512,768,3.600398649185347,4,0.9516443908214569,0.9516417980194092,0.9516465067863464,0.9516443908214569,0.9516417980194092,0.9516465067863464,1.836285412311554,1.836252212524414,1.836307168006897,15.174328327178955,15.174327850341797,15.174328804016113
step13000,13000,1024,768,1024,3.600398649185347,4,0.9516442716121674,0.9516437649726868,0.9516461491584778,0.9516442716121674,0.9516437649726868,0.9516461491584778,1.8362829685211182,1.8362598419189453,1.8362853527069092,15.17432689666748,15.174325942993164,15.174328804016113
step21000,21000,256,0,256,3.565966715529297,4,1.072032392024994,0.9987492561340332,1.164811134338379,1.0690538883209229,0.9954156279563904,1.164811134338379,1.9599517583847046,1.8578662872314453,4.407299995422363,16.404623985290527,15.78960132598877,17.19159507751465
step21000,21000,512,256,512,3.565966715529297,4,1.0443902611732483,0.9750794172286987,1.0939624309539795,1.0419119596481323,0.972319483757019,1.0939624309539795,2.138232469558716,1.8545295000076294,2.8682777881622314,15.954218864440918,15.29533863067627,17.12523078918457
step21000,21000,768,512,768,3.565966715529297,4,1.105099081993103,1.028720736503601,1.1200214624404907,1.1042374968528748,1.028720736503601,1.1200214624404907,1.890282154083252,1.730608344078064,1.9727932214736938,16.253448486328125,15.198980331420898,16.96954345703125
step21000,21000,1024,768,1024,3.565966715529297,4,1.025976300239563,1.0217702388763428,1.0571197271347046,1.0245970487594604,1.0206992626190186,1.0571197271347046,1.9351269006729126,1.8458795547485352,2.963780164718628,15.893579483032227,15.52217960357666,16.320770263671875
step25000,25000,256,0,256,3.5724779262537356,4,1.0190268158912659,0.9896846413612366,1.0414286851882935,1.0176950693130493,0.9885274767875671,1.0414286851882935,1.8670902848243713,1.814958930015564,1.9718340635299683,15.632702350616455,15.45276165008545,16.042484283447266
step25000,25000,512,256,512,3.5724779262537356,4,1.0519335865974426,0.9906014204025269,1.0757700204849243,1.0481932759284973,0.9906014204025269,1.0757700204849243,2.0440226197242737,1.8568499088287354,2.97749400138855,16.089097023010254,15.538249969482422,16.463476181030273
step25000,25000,768,512,768,3.5724779262537356,4,1.0206043720245361,0.988888680934906,1.043895959854126,1.016736388206482,0.9882814884185791,1.043895959854126,2.5605705976486206,1.7259175777435303,3.0080695152282715,15.7628173828125,14.833876609802246,15.837993621826172
