checkpoint,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_0_1024,geometric_tangent_factor_per_step
step0,0,21825, clones,2,0,0.01678542047739029,1.0169270871827851
step0,1,23778, motive,8,2,0.016963763162493706,1.0171084648632782
step0,2,19211, cabinet,33,5,0.014066111296415329,1.0141655045185163
step0,3,6574, miles,404,7,0.0214631799608469,1.0216951707886186
step2000,0,21825, clones,2,0,-0.012001212686300278,0.9880705146416272
step2000,1,23778, motive,8,2,-0.012045515701174736,0.9880267411085769
step2000,2,19211, cabinet,33,5,-0.011063851416110992,0.9889971278921079
step2000,3,6574, miles,404,7,-0.011593544855713844,0.9884734013211871
step3000,0,21825, clones,2,0,-0.04033512622117996,0.9604675073651351
step3000,1,23778, motive,8,2,-0.04064321517944336,0.9601716435098789
step3000,2,19211, cabinet,33,5,-0.03906543552875519,0.9616877785391543
step3000,3,6574, miles,404,7,-0.038807131350040436,0.961936218596141
step4000,0,21825, clones,2,0,-0.00418278481811285,0.9958259508422643
step4000,1,23778, motive,8,2,-0.022437429055571556,0.9778124179257117
step4000,2,19211, cabinet,33,5,-0.022001244127750397,0.9782390179961441
step4000,3,6574, miles,404,7,-0.003234917065128684,0.9967703096415739
step5000,0,21825, clones,2,0,0.007300899364054203,1.0073276159085067
step5000,1,23778, motive,8,2,0.01086034532636404,1.0109195329486165
step5000,2,19211, cabinet,33,5,0.01235616859048605,1.0124328214280491
step5000,3,6574, miles,404,7,0.006553443614393473,1.0065749644120898
step7000,0,21825, clones,2,0,0.01912585087120533,1.0193099215872663
step7000,1,23778, motive,8,2,0.020464742556214333,1.0206755811968642
step7000,2,19211, cabinet,33,5,0.005647176876664162,1.0056631522377417
step7000,3,6574, miles,404,7,0.019740965217351913,1.019937106618684
step8000,0,21825, clones,2,0,0.010815725661814213,1.0108744270644816
step8000,1,23778, motive,8,2,0.01937909796833992,1.0195680915550063
step8000,2,19211, cabinet,33,5,0.0037728731986135244,1.0037799994440215
step8000,3,6574, miles,404,7,0.014987886883318424,1.0151007685071944
step9000,0,21825, clones,2,0,-0.004354768432676792,0.9956546998223688
step9000,1,23778, motive,8,2,-0.0039783651009202,0.9960295381094254
step9000,2,19211, cabinet,33,5,-0.003085056319832802,0.9969196975764796
step9000,3,6574, miles,404,7,-0.004900495987385511,0.9951114918529603
step10000,0,21825, clones,2,0,0.003713164711371064,1.0037200670479847
step10000,1,23778, motive,8,2,0.0019062471110373735,1.0019080651550918
step10000,2,19211, cabinet,33,5,0.0013496674364432693,1.0013505786474355
step10000,3,6574, miles,404,7,0.0026305466890335083,1.0026340096127702
step13000,0,21825, clones,2,0,-0.046505920588970184,0.954558909002292
step13000,1,23778, motive,8,2,-0.04554477334022522,0.9554768217254245
step13000,2,19211, cabinet,33,5,-0.04918741434812546,0.952002694014011
step13000,3,6574, miles,404,7,-0.045263804495334625,0.9557453186622151
step21000,0,21825, clones,2,0,0.015331948176026344,1.0154500854796145
step21000,1,23778, motive,8,2,0.02002057060599327,1.0202223264024057
step21000,2,19211, cabinet,33,5,0.024207815527915955,1.0245032034434687
step21000,3,6574, miles,404,7,0.03083169460296631,1.0313119139177307
step25000,0,21825, clones,2,0,0.01890045404434204,1.0190801982557778
step25000,1,23778, motive,8,2,0.01670110784471035,1.0168413509971939
step25000,2,19211, cabinet,33,5,0.014753126539289951,1.014862491071697
step25000,3,6574, miles,404,7,0.014488105662167072,1.0145935669609798
step29000,0,21825, clones,2,0,0.002354091964662075,1.0023568650147292
step29000,1,23778, motive,8,2,0.000752018007915467,1.0007523008443524
step29000,2,19211, cabinet,33,5,0.002578534884378314,1.0025818621646747
step29000,3,6574, miles,404,7,0.0016626908909529448,1.001664073927867
step33000,0,21825, clones,2,0,0.011851107701659203,1.0119216103146178
step33000,1,23778, motive,8,2,0.023671410977840424,1.0239538026272967
step33000,2,19211, cabinet,33,5,0.018199965357780457,1.0183665940712092
step33000,3,6574, miles,404,7,0.020942233502864838,1.0211630609206683
step37000,0,21825, clones,2,0,0.004480530042201281,1.0044905826249564
step37000,1,23778, motive,8,2,0.012295432388782501,1.0123713319713326
step37000,2,19211, cabinet,33,5,0.010523956269025803,1.010579527870083
step37000,3,6574, miles,404,7,0.0034063118509948254,1.0034121199240382
step41000,0,21825, clones,2,0,0.003356724511831999,1.0033623646205543
step41000,1,23778, motive,8,2,0.002990899607539177,1.0029953768102788
step41000,2,19211, cabinet,33,5,0.0042737750336527824,1.004282920634277
step41000,3,6574, miles,404,7,0.0041573490016162395,1.0041660027650594
step53000,0,21825, clones,2,0,0.0017722477205097675,1.0017738190796432
step53000,1,23778, motive,8,2,0.003045871388167143,1.0030505147676059
step53000,2,19211, cabinet,33,5,0.006058497354388237,1.0060768871689414
step53000,3,6574, miles,404,7,0.0033242986537516117,1.0033298302623959
step57000,0,21825, clones,2,0,0.0019817203283309937,1.0019836852338109
step57000,1,23778, motive,8,2,0.0022850658278912306,1.002287678580535
step57000,2,19211, cabinet,33,5,0.0015598245663568377,1.001561041725465
step57000,3,6574, miles,404,7,0.0018517065327614546,1.001853421999987
step61000,0,21825, clones,2,0,-0.10334985703229904,0.9018114132195244
step61000,1,23778, motive,8,2,-0.10226791352033615,0.9027876502484992
step61000,2,19211, cabinet,33,5,-0.10323809087276459,0.9019122108505814
step61000,3,6574, miles,404,7,-0.10283724218606949,0.9022738136449759
