checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step0,0,256,256,0,21825, clones,2,0,0.033265989273786545,1.033825489163904,0.01678542047739029
step0,0,256,256,1,23778, motive,8,2,0.028350980952382088,1.0287566950683933,0.016963763162493706
step0,0,256,256,2,19211, cabinet,33,5,0.01874244026839733,1.018919182267368,0.014066111296415329
step0,0,256,256,3,6574, miles,404,7,0.030071930959820747,1.030528658203078,0.0214631799608469
step0,256,512,512,0,21825, clones,2,0,0.009165552444756031,1.0092076847441207,0.01678542047739029
step0,256,512,512,1,23778, motive,8,2,0.013043539598584175,1.0131289776285304,0.016963763162493706
step0,256,512,512,2,19211, cabinet,33,5,0.017137546092271805,1.0172852363116895,0.014066111296415329
step0,256,512,512,3,6574, miles,404,7,0.014940023422241211,1.0150521834338058,0.0214631799608469
step0,512,768,768,0,21825, clones,2,0,0.013135557062923908,1.0132222074774222,0.01678542047739029
step0,512,768,768,1,23778, motive,8,2,0.00872753281146288,1.0087657287638967,0.016963763162493706
step0,512,768,768,2,19211, cabinet,33,5,0.0034403367899358273,1.0034462615409812,0.014066111296415329
step0,512,768,768,3,6574, miles,404,7,0.010359510779380798,1.0104133562882553,0.0214631799608469
step0,768,1024,1024,0,21825, clones,2,0,0.011574577540159225,1.0116418221550074,0.01678542047739029
step0,768,1024,1024,1,23778, motive,8,2,0.01773299276828766,1.017891155802682,0.016963763162493706
step0,768,1024,1024,2,19211, cabinet,33,5,0.016944129019975662,1.0170884950067691,0.014066111296415329
step0,768,1024,1024,3,6574, miles,404,7,0.030481252819299698,1.030950562451125,0.0214631799608469
step2000,0,256,256,0,21825, clones,2,0,-0.004485052544623613,0.9955249902837262,-0.012001212686300278
step2000,0,256,256,1,23778, motive,8,2,-0.004718506708741188,0.9952926079556278,-0.012045515701174736
step2000,0,256,256,2,19211, cabinet,33,5,-0.0007478746119886637,0.9992524049765256,-0.011063851416110992
step2000,0,256,256,3,6574, miles,404,7,-0.0028473269194364548,0.9971567228712521,-0.011593544855713844
step2000,256,512,512,0,21825, clones,2,0,-0.014522088691592216,0.9855828482563689,-0.012001212686300278
step2000,256,512,512,1,23778, motive,8,2,-0.014467018656432629,0.9856371258329953,-0.012045515701174736
step2000,256,512,512,2,19211, cabinet,33,5,-0.014510193839669228,0.9855945716881308,-0.011063851416110992
step2000,256,512,512,3,6574, miles,404,7,-0.014529304578900337,0.9855757364272622,-0.011593544855713844
step2000,512,768,768,0,21825, clones,2,0,-0.014499199576675892,0.9856054076336233,-0.012001212686300278
step2000,512,768,768,1,23778, motive,8,2,-0.014498043805360794,0.9856065467687397,-0.012045515701174736
step2000,512,768,768,2,19211, cabinet,33,5,-0.014498832635581493,0.9856057692928165,-0.011063851416110992
step2000,512,768,768,3,6574, miles,404,7,-0.014499043114483356,0.9856055618436184,-0.011593544855713844
step2000,768,1024,1024,0,21825, clones,2,0,-0.014498506672680378,0.9856060905637848,-0.012001212686300278
step2000,768,1024,1024,1,23778, motive,8,2,-0.014498494565486908,0.9856061024967085,-0.012045515701174736
step2000,768,1024,1024,2,19211, cabinet,33,5,-0.01449850294739008,0.9856060942354536,-0.011063851416110992
step2000,768,1024,1024,3,6574, miles,404,7,-0.014498502016067505,0.9856060951533708,-0.011593544855713844
step3000,0,256,256,0,21825, clones,2,0,-0.032465606927871704,0.9680557436697803,-0.04033512622117996
step3000,0,256,256,1,23778, motive,8,2,-0.03370581939816475,0.9668558930531844,-0.04064321517944336
step3000,0,256,256,2,19211, cabinet,33,5,-0.027399079874157906,0.9729728701433145,-0.03906543552875519
step3000,0,256,256,3,6574, miles,404,7,-0.026356393471360207,0.9739879048147674,-0.038807131350040436
step3000,256,512,512,0,21825, clones,2,0,-0.04295707866549492,0.9579525057845943,-0.04033512622117996
step3000,256,512,512,1,23778, motive,8,2,-0.04294919595122337,0.9579600570802456,-0.04064321517944336
step3000,256,512,512,2,19211, cabinet,33,5,-0.04294484853744507,0.9579642217380495,-0.03906543552875519
step3000,256,512,512,3,6574, miles,404,7,-0.04295428842306137,0.9579551787080544,-0.038807131350040436
