checkpoint,window_start,window_end,token_count,lyapunov_mean,lyapunov_population_variance,lyapunov_sample_variance,lyapunov_lower_bound_min,lyapunov_upper_bound_max
step5000,768,1024,4,0.0033118075552920345,2.1936756387722284e-05,2.9249008516963045e-05,-0.0026483379770070314,0.008718926459550858
step7000,768,1024,4,0.010734782321378589,0.00012113544500065896,0.00016151392666754528,-0.006998162716627121,0.020968591794371605
step8000,768,1024,4,0.010093037912156433,2.5302973251318027e-05,3.3737297668424034e-05,0.0038357579614967108,0.017061442136764526
step9000,768,1024,4,-0.005568248801864684,5.7612637334596736e-08,7.681684977946231e-08,-0.005907050333917141,-0.005310654640197754
step10000,768,1024,4,-7.164194539655e-05,1.3241906362504108e-07,1.7655875150005478e-07,-0.00046560080954805017,0.0002956070238724351
step13000,768,1024,4,-0.04956591781228781,1.6479873021779667e-17,2.1973164029039556e-17,-0.04956592246890068,-0.049565911293029785
step21000,768,1024,4,0.01987952785566449,8.200101968011057e-05,0.0001093346929068141,0.004968822002410889,0.029436927288770676
step25000,768,1024,4,0.010753127047792077,2.353235931247809e-05,3.137647908330412e-05,0.0044502923265099525,0.018026184290647507
step29000,768,1024,4,-0.0010961492080241442,1.5021076258050781e-07,2.0028101677401042e-07,-0.0014901026152074337,-0.0006684745894744992
step33000,768,1024,4,0.017881433246657252,1.0948243040015133e-05,1.4597657386686844e-05,0.014225003309547901,0.022912822663784027
step37000,768,1024,4,0.006551354279508814,3.6499261023535174e-05,4.866568136471357e-05,-0.0016528513515368104,0.015385547652840614
step41000,768,1024,4,-0.00018814971190295182,3.2171609671139796e-07,4.289547956151973e-07,-0.001102088368497789,0.00043318793177604675
step53000,768,1024,4,-0.0004890023992629722,1.6967566511849373e-07,2.2623422015799165e-07,-0.0010148563887923956,-2.432541805319488e-05
step57000,768,1024,4,0.0015565776266157627,5.5145374895931385e-06,7.3527166527908516e-06,-0.0002685172948986292,0.005476747639477253
step61000,768,1024,4,-0.10547194816172123,8.967115244784551e-12,1.1956153659712735e-11,-0.10547702759504318,-0.10546953231096268
