checkpoint,tail_start,tail_end,selection_index,token_id,token,wikitext_train_count,frequency_bin,orbit_diameter_approx,orbit_pairwise_d95,orbit_pairwise_rms,median_state_norm,numerical_floor,normalization_scale,estimated_period_integer,estimated_period_quadratic,best_absolute_median,best_absolute_p95,best_absolute_max,best_normalized_median,best_normalized_p95,best_normalized_max,classification
step9000,512,1024,0,21825, clones,2,0,0.6998607516288757,0.3810926675796509,0.20995526015758514,38.82279586791992,3.702430331031792e-05,0.3810926675796509,22,21.557827977111195,0.015124419704079628,0.05213160812854767,0.06175431236624718,0.039686985313892365,0.13679510354995728,0.16204538941383362,dominant_recurrence_only
step9000,512,1024,1,23778, motive,8,2,1.199966311454773,0.6227078437805176,0.3429582417011261,38.82258987426758,3.7024106859462336e-05,0.6227078437805176,22,21.563068659006525,0.025510353967547417,0.08734150230884552,0.10524830222129822,0.040966808795928955,0.14026078581809998,0.16901715099811554,dominant_recurrence_only
step9000,512,1024,2,19211, cabinet,33,5,0.6881179213523865,0.3820931017398834,0.21181105077266693,38.82282638549805,3.7024332414148375e-05,0.3820931017398834,22,21.553801157590023,0.015413297340273857,0.05279868096113205,0.06416410207748413,0.040339116007089615,0.13818275928497314,0.16792792081832886,dominant_recurrence_only
step9000,512,1024,3,6574, miles,404,7,0.23997379839420319,0.12706898152828217,0.06971686333417892,38.82280349731445,3.702431058627553e-05,0.12706898152828217,22,21.559510489343506,0.005090243183076382,0.01751273311674595,0.02111462689936161,0.04005889594554901,0.13782067596912384,0.16616664826869965,dominant_recurrence_only
step29000,512,1024,0,21825, clones,2,0,30.253576278686523,29.31634521484375,20.62932777404785,51.39217758178711,4.901139982393943e-05,29.31634521484375,100,99.95678032153516,0.22567202150821686,0.30926069617271423,0.31385764479637146,0.007697822526097298,0.010549088008701801,0.01070589292794466,dominant_recurrence_only
step29000,512,1024,1,23778, motive,8,2,30.253637313842773,29.380653381347656,20.60206413269043,51.398494720458984,4.901742431684397e-05,29.380653381347656,100,99.95675264599534,0.22634904086589813,0.3092759847640991,0.31386488676071167,0.007704016752541065,0.010526517406105995,0.010682705789804459,dominant_recurrence_only
step29000,512,1024,2,19211, cabinet,33,5,30.252288818359375,29.313913345336914,20.539405822753906,51.39287567138672,4.9012065574061126e-05,29.313913345336914,100,99.95673558131999,0.22560973465442657,0.30928313732147217,0.3138503134250641,0.007696336135268211,0.0105507280677557,0.010706530883908272,dominant_recurrence_only
step29000,512,1024,3,6574, miles,404,7,30.253576278686523,29.316627502441406,20.643693923950195,51.3984260559082,4.9017358833225444e-05,29.316627502441406,100,99.95676017928325,0.22646547853946686,0.30916473269462585,0.3138849437236786,0.007724813651293516,0.010545712895691395,0.010706720873713493,dominant_recurrence_only
step41000,512,1024,0,21825, clones,2,0,74.49561309814453,72.87261199951172,55.26198959350586,56.10160446166992,5.350265928427689e-05,72.87261199951172,57,56.91633782149928,0.862572193145752,1.184313178062439,1.3308194875717163,0.011836713179945946,0.016251828521490097,0.01826227270066738,dominant_recurrence_only
step41000,512,1024,1,23778, motive,8,2,74.49934387207031,72.96849060058594,54.94636535644531,56.103294372558594,5.350427090888843e-05,72.96849060058594,57,56.91632553902489,0.8588862419128418,1.1817166805267334,1.3264906406402588,0.011770645156502724,0.016194891184568405,0.018178950995206833,dominant_recurrence_only
step41000,512,1024,2,19211, cabinet,33,5,74.50144958496094,72.8278579711914,55.10072326660156,56.10530090332031,5.350618448574096e-05,72.8278579711914,57,56.91619976206697,0.8556516170501709,1.1780610084533691,1.3231312036514282,0.011748960241675377,0.01617596670985222,0.018167927861213684,dominant_recurrence_only
