checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds,proof_pile2_test_loss
step10000,10000,0,0,21825, clones,2,0,11.079007148742676,74.63168334960938,236.82154846191406,0.5183794423937798,4.0096223089430065
step10000,10000,0,1,46808, trustworthy,3,1,12.178420066833496,71.45716094970703,248.65367126464844,0.4642418511211872,4.0096223089430065
step10000,10000,0,2,23778, motive,8,2,15.442622184753418,86.31649017333984,319.8399658203125,0.5158679857850075,4.0096223089430065
step10000,10000,0,3,42548, generosity,8,3,15.695582389831543,86.69588470458984,329.0720520019531,0.47271348163485527,4.0096223089430065
step10000,10000,0,4,29254, critique,18,4,12.167414665222168,75.53775024414062,254.34658813476562,0.5383817292749882,4.0096223089430065
step10000,10000,0,5,19211, cabinet,33,5,13.23663330078125,80.93873596191406,284.0622863769531,0.4985041506588459,4.0096223089430065
step10000,10000,0,6,14290, documented,48,6,10.526676177978516,63.79927062988281,217.15016174316406,0.5274570025503635,4.0096223089430065
step10000,10000,0,7,6574, miles,404,7,19.705530166625977,153.0851287841797,402.80255126953125,0.5012841448187828,4.0096223089430065
step10000,10000,64,0,21825, clones,2,0,1.0058064460754395,1.8311562538146973,15.655667304992676,0.5276336446404457,4.0096223089430065
step10000,10000,64,1,46808, trustworthy,3,1,1.03045654296875,1.8660236597061157,15.904882431030273,0.5255061984062195,4.0096223089430065
step10000,10000,64,2,23778, motive,8,2,0.9706754088401794,1.731642723083496,15.072394371032715,0.5332150980830193,4.0096223089430065
step10000,10000,64,3,42548, generosity,8,3,0.9823412299156189,1.7468262910842896,15.244868278503418,0.5103640630841255,4.0096223089430065
step10000,10000,64,4,29254, critique,18,4,0.9783273339271545,1.7386261224746704,15.158679962158203,0.5331417433917522,4.0096223089430065
step10000,10000,64,5,19211, cabinet,33,5,0.9852206110954285,1.7509105205535889,15.227080345153809,0.5122807882726192,4.0096223089430065
step10000,10000,64,6,14290, documented,48,6,0.9979543089866638,1.818759560585022,15.361220359802246,0.5972153954207897,4.0096223089430065
step10000,10000,64,7,6574, miles,404,7,0.9874997138977051,1.828931212425232,15.545299530029297,0.5331437289714813,4.0096223089430065
step10000,10000,128,0,21825, clones,2,0,1.034885287284851,1.824636697769165,15.754436492919922,0.5118874572217464,4.0096223089430065
step10000,10000,128,1,46808, trustworthy,3,1,1.039476752281189,1.8106365203857422,15.758877754211426,0.4671599306166172,4.0096223089430065
step10000,10000,128,2,23778, motive,8,2,0.9524849653244019,1.759690284729004,15.043232917785645,0.5305169485509396,4.0096223089430065
step10000,10000,128,3,42548, generosity,8,3,0.9634490609169006,1.7358671426773071,14.97407341003418,0.5178217887878418,4.0096223089430065
step10000,10000,128,4,29254, critique,18,4,0.9596995115280151,1.7456822395324707,14.99875259399414,0.47513050958514214,4.0096223089430065
step10000,10000,128,5,19211, cabinet,33,5,0.9614996314048767,1.7361384630203247,14.961516380310059,0.5388324931263924,4.0096223089430065
