selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed
0,44991,locations,1,0,190905176
1,40201, 449,1,0,190905176
2,45634,completion,1,0,190905176
3,14819,Py,1,0,190905176
4,30341, circumference,1,0,190905176
5,35393, involuntary,1,0,190905176
6,41478,立,1,0,190905176
7,29263, CAD,1,0,190905176
8,43322,alen,1,0,190905176
9,41720, Nokia,1,0,190905176
10,38617,sidered,2,1,190905176
11,9815,second,3,1,190905176
12,21302, diagrams,2,1,190905176
13,25566, permeability,2,1,190905176
14,12838, LE,2,1,190905176
15,36849,urdy,2,1,190905176
16,33930, 510,2,1,190905176
17,7776,ochem,2,1,190905176
18,32587, phyt,2,1,190905176
19,48174, filings,1,1,190905176
20,40493, helical,4,2,190905176
21,36039, interplay,4,2,190905176
22,11818,cies,4,2,190905176
23,23007, harmonic,3,2,190905176
24,49192, inactivated,3,2,190905176
25,49108, Maintenance,3,2,190905176
26,32752, pend,3,2,190905176
27,37375, Pretty,4,2,190905176
28,42178, 580,4,2,190905176
29,2775,CH,4,2,190905176
30,8022,PI,7,3,190905176
31,29209, shaping,6,3,190905176
32,34666, exams,5,3,190905176
33,14134,ilipp,6,3,190905176
34,33132,essential,6,3,190905176
35,29405, Manufact,6,3,190905176
36,48266,christ,6,3,190905176
37,14944,omed,7,3,190905176
38,49304,umu,4,3,190905176
39,11608, tonight,5,3,190905176
40,48526, geared,8,4,190905176
41,29154, trump,7,4,190905176
42,39772,leman,7,4,190905176
43,50131, assortment,7,4,190905176
44,39037, Sew,9,4,190905176
45,47239, arresting,7,4,190905176
46,17077, assertion,8,4,190905176
47,35700, unemployed,9,4,190905176
48,31995, outgoing,9,4,190905176
49,40092, floated,8,4,190905176
50,18001, portable,12,5,190905176
51,40610,olev,10,5,190905176
52,45782, Bread,15,5,190905176
53,31208, Alban,12,5,190905176
54,27943,gae,14,5,190905176
55,11080, thorough,15,5,190905176
56,9554, integration,15,5,190905176
57,17954, sits,15,5,190905176
58,12389, nit,14,5,190905176
59,44251, drifting,14,5,190905176
60,44956, 1864,17,6,190905176
61,4977,othe,19,6,190905176
62,10732, notion,22,6,190905176
63,29957, publicity,22,6,190905176
64,49932, disguised,16,6,190905176
65,10934, routine,19,6,190905176
66,37783, Panama,16,6,190905176
67,9369, happening,16,6,190905176
68,1946,ending,23,6,190905176
69,41608, paved,22,6,190905176
70,1081, bu,39,7,190905176
71,9560, crucial,28,7,190905176
72,15553,ographical,37,7,190905176
73,20189, Hunter,25,7,190905176
74,23174, Thailand,28,7,190905176
75,4610, options,33,7,190905176
76,7624, thereby,27,7,190905176
77,17732, Å,31,7,190905176
78,8525, supports,26,7,190905176
79,6057, knows,29,7,190905176
80,4638,rum,73,8,190905176
81,11832, Son,51,8,190905176
82,17847, impressed,50,8,190905176
83,6032, smooth,50,8,190905176
84,15973,igo,57,8,190905176
85,32613, Coleman,56,8,190905176
86,20948, arriving,46,8,190905176
87,17422, Gab,68,8,190905176
88,6519, speech,74,8,190905176
89,11826, Ho,78,8,190905176
90,3206, involved,254,9,190905176
91,5966, entered,204,9,190905176
92,3540, track,447,9,190905176
93,337, 1,2562,9,190905176
94,897, use,878,9,190905176
95,3041, million,943,9,190905176
96,10109, Civil,141,9,190905176
97,16819, bass,104,9,190905176
98,1514,ium,309,9,190905176
99,9503, roles,144,9,190905176
