checkpoint,training_step,dynamic_step,token_count,token_selection,token_seed,projection_basis,projection_dimension_max,definition,projected_normalized_frobenius_d1_mean,projected_normalized_frobenius_d1_std,projected_normalized_frobenius_d1_median,projected_normalized_frobenius_d1_min,projected_normalized_frobenius_d1_max,projected_normalized_frobenius_d1_sem,projected_normalized_frobenius_d1_ci95_low,projected_normalized_frobenius_d1_ci95_high,projected_normalized_frobenius_d2_mean,projected_normalized_frobenius_d2_std,projected_normalized_frobenius_d2_median,projected_normalized_frobenius_d2_min,projected_normalized_frobenius_d2_max,projected_normalized_frobenius_d2_sem,projected_normalized_frobenius_d2_ci95_low,projected_normalized_frobenius_d2_ci95_high,projected_normalized_frobenius_d3_mean,projected_normalized_frobenius_d3_std,projected_normalized_frobenius_d3_median,projected_normalized_frobenius_d3_min,projected_normalized_frobenius_d3_max,projected_normalized_frobenius_d3_sem,projected_normalized_frobenius_d3_ci95_low,projected_normalized_frobenius_d3_ci95_high,projected_normalized_frobenius_d4_mean,projected_normalized_frobenius_d4_std,projected_normalized_frobenius_d4_median,projected_normalized_frobenius_d4_min,projected_normalized_frobenius_d4_max,projected_normalized_frobenius_d4_sem,projected_normalized_frobenius_d4_ci95_low,projected_normalized_frobenius_d4_ci95_high
step2000,2000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.47513931602239606,3.379588083979474e-08,0.475139319896698,0.4751392602920532,0.4751393795013428,3.379588083979474e-09,0.47513930939840343,0.4751393226463887,0.4827862884901556,2.6971976957238036e-08,0.48278629096638703,0.48278621663204924,0.48278635060519637,2.6971976957238036e-09,0.4827862832036481,0.4827862937766631,0.47721210003512016,2.4538303370762208e-08,0.47721210383206125,0.4772120448241971,0.4772121634314658,2.4538303370762208e-09,0.4772120952256127,0.4772121048446276,0.47235822650669723,2.3724922371088553e-08,0.4723582271092678,0.4723581680547086,0.47235829383414235,2.3724922371088553e-09,0.47235822185661247,0.472358231156782
step3000,3000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.4283683317899704,4.16802243628401e-08,0.42836833000183105,0.4283682405948639,0.4283684194087982,4.16802243628401e-09,0.4283683236206464,0.4283683399592944,0.43578999657710177,3.571048671807827e-08,0.43578999483455994,0.4357899205981615,0.43579006880992455,3.5710486718078273e-09,0.43578998957784637,0.43579000357635717,0.4269098620797836,3.399205834131352e-08,0.4269098617855451,0.4269097924286854,0.42690993146891765,3.3992058341313516e-09,0.42690985541734017,0.426909868742227,0.41696627548485493,3.1207285080343945e-08,0.4169662769681604,0.4169662111921256,0.41696633787159165,3.1207285080343943e-09,0.41696626936822706,0.4169662816014828
step4000,4000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.4389810481667519,0.003317719171514031,0.4408250153064728,0.4331067204475403,0.44089722633361816,0.00033177191715140313,0.4383307752091351,0.43963132112436865,0.43178301636764443,0.0020797194560492815,0.43293761863497326,0.4281007014070709,0.432991007207076,0.00020797194560492815,0.4313753913542588,0.4321906413810301,0.4192871667879086,0.0020840000071255327,0.42044569273027327,0.41559725759586563,0.420491866675907,0.00020840000071255328,0.418878702786512,0.4196956307893052,0.40376164100988127,0.00151803729947514,0.4046038407634369,0.40107385201274787,0.4046489260947825,0.000151803729947514,0.4034641056991841,0.4040591763205784
step5000,5000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.39076629281044006,0.005114885605502446,0.39131757616996765,0.37549346685409546,0.40066587924957275,0.0005114885605502446,0.3897637752317616,0.39176881038911854,0.38878849674572213,0.0025669092053320457,0.3886516310459426,0.3815103712970036,0.39467869415392565,0.0002566909205332046,0.38828538254147704,0.3892916109499672,0.37686911449927246,0.0020687861198493557,0.3767802529152189,0.37269197471193705,0.38184174367100115,0.00020687861198493557,0.376463632419782,0.37727459657876294,0.3679766222419411,0.002081941355556789,0.3681701706841377,0.3624489840072286,0.372618947116883,0.00020819413555567888,0.36756856173625196,0.36838468274763025
step7000,7000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.36378618657588957,0.01102889035532899,0.36074985563755035,0.3426273763179779,0.3902241289615631,0.001102889035532899,0.36162452406624507,0.36594784908553407,0.374117631766401,0.010024091057239613,0.37067370032719804,0.3537559638290582,0.3966297589118703,0.0010024091057239614,0.37215290991918204,0.37608235361361997,0.36179444365386665,0.00834512129683477,0.36033569367055807,0.3408218341710806,0.3820920021536285,0.0008345121296834771,0.360158799879687,0.3634300874280463,0.35374729787851344,0.008419523710785113,0.352309350704359,0.33253576233364746,0.3769242175140897,0.0008419523710785113,0.35209707123119954,0.35539752452582735
step8000,8000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3405822539329529,0.015568229197143702,0.339806467294693,0.30469948053359985,0.39860570430755615,0.0015568229197143702,0.3375308810103127,0.34363362685559307,0.355494161874889,0.01271073878632716,0.3528436963107576,0.3338673747354387,0.3981380616377373,0.001271073878632716,0.3530028570727689,0.35798546667700915,0.34312661066981953,0.01198389924251585,0.3414380198466481,0.3191356001419077,0.3806101803811454,0.001198389924251585,0.34077776641828644,0.3454754549213526,0.3358694370657716,0.011955914181586674,0.3350723991588805,0.31290964407350336,0.36877452037608655,0.0011955914181586674,0.3335260778861806,0.3382127962453626
step9000,9000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3178019291162491,1.9032086244359527e-05,0.31780119240283966,0.3177649974822998,0.3178512454032898,1.9032086244359528e-06,0.3177981988273452,0.317805659405153,0.33102714584273735,1.2912648423744942e-05,0.33102685082748035,0.3310017880666392,0.3310606848190625,1.2912648423744942e-06,0.33102461496364627,0.3310296767218284,0.31948054008706334,9.282493767361833e-06,0.3194803805123576,0.31946187218357186,0.31950460354783616,9.282493767361834e-07,0.3194787207182849,0.31948235945584175,0.312212098811117,9.35911002467913e-06,0.31221241903790176,0.31219284619521903,0.3122351845503613,9.359110024679131e-07,0.31221026442555216,0.31221393319668184
step10000,10000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3313723167777061,0.007108453771629687,0.33092132210731506,0.3218304514884949,0.34175950288772583,0.0007108453771629687,0.3299790598384667,0.33276557371694554,0.3344940574702684,0.005531693413348671,0.3346569364896095,0.3268615460425594,0.3425757759158653,0.0005531693413348671,0.333409845561252,0.33557826937928475,0.31666103881541025,0.005399208101304173,0.31673669858172737,0.30931860095339075,0.3245121197690033,0.0005399208101304173,0.31560279402755465,0.31771928360326585,0.30943883896995905,0.005672894832629972,0.3085362669335546,0.301759559580337,0.31756996268296217,0.0005672894832629972,0.3083269515827636,0.3105507263571545
step11000,11000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.330025689303875,4.5695912686083683e-08,0.33002567291259766,0.3300256133079529,0.3300258219242096,4.5695912686083685e-09,0.3300256803474761,0.3300256982602739,0.34304212535411266,3.667914723675612e-08,0.34304212458965644,0.3430420338366714,0.34304222705512555,3.667914723675612e-09,0.3430421181649998,0.3430421325432255,0.32701400869948377,3.2967730004650735e-08,0.3270140098075042,0.3270139276623115,0.3270140991174348,3.2967730004650733e-09,0.3270140022378087,0.32701401516115886,0.3186484437804309,2.782545570711291e-08,0.3186484442022228,0.3186483829001329,0.3186485170748118,2.782545570711291e-09,0.3186484383266416,0.3186484492342202
step12000,12000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.33270553171634676,0.011959131298490185,0.3302011489868164,0.3155778646469116,0.3591426610946655,0.0011959131298490185,0.3303615419818427,0.3350495214508508,0.3459330403341008,0.013006240622035722,0.3417784764112217,0.32966935305800105,0.37581950902500016,0.0013006240622035722,0.3433838171721818,0.34848226349601985,0.32736071160019764,0.01086798403099978,0.32335750181283823,0.3136184833209378,0.3514600499670262,0.001086798403099978,0.3252305867301217,0.3294908364702736,0.3188963188836194,0.010383170507326026,0.31551844507258375,0.3065562907222244,0.3417828250887959,0.0010383170507326026,0.3168612174641835,0.3209314203030553
