stage,position_zero_based,token_id,token,vector_dimension,l2_norm,mean,std
embedding,0,783,the,512,1.0832277536392212,-0.00040317897219210863,0.047917477786540985
embedding,1,5798, cat,512,1.3531205654144287,-0.0001246307510882616,0.059858400374650955
embedding,2,1790, sit,512,1.3282458782196045,0.00014907110016793013,0.058757949620485306
embedding,3,327, on,512,0.7944274544715881,-0.0007999561494216323,0.03513427823781967
embedding,4,253, the,512,0.624722957611084,-0.00043818901758641005,0.027632635086774826
block_0,0,783,the,512,14.710118293762207,-0.029075227677822113,0.6500862240791321
block_0,1,5798, cat,512,20.8892765045166,-0.010992305353283882,0.9240216612815857
block_0,2,1790, sit,512,19.909435272216797,-0.004150674678385258,0.8807317614555359
block_0,3,327, on,512,12.690409660339355,-0.019094577059149742,0.5610652565956116
block_0,4,253, the,512,14.636577606201172,-0.024715574458241463,0.6470112204551697
block_1,0,783,the,512,25.322111129760742,-0.03987373784184456,1.1194729804992676
block_1,1,5798, cat,512,23.739837646484375,-0.02099558897316456,1.0499783754348755
block_1,2,1790, sit,512,22.71424674987793,-0.006505380384624004,1.0047980546951294
block_1,3,327, on,512,16.627775192260742,-0.01819477416574955,0.7353439331054688
block_1,4,253, the,512,17.96061897277832,-0.02735346555709839,0.794059157371521
block_2,0,783,the,512,200.55581665039062,0.01847754418849945,8.872048377990723
block_2,1,5798, cat,512,24.514362335205078,-0.010067425668239594,1.084404706954956
block_2,2,1790, sit,512,23.23322105407715,0.0022202851250767708,1.0277749300003052
block_2,3,327, on,512,20.55078887939453,-0.006746523082256317,0.9090882539749146
block_2,4,253, the,512,18.309045791625977,-0.013287320733070374,0.8098353743553162
block_3,0,783,the,512,218.8756103515625,0.01818736642599106,9.682470321655273
block_3,1,5798, cat,512,26.14705467224121,-0.010127117857336998,1.1566332578659058
block_3,2,1790, sit,512,24.87314796447754,0.0007045911625027657,1.1003230810165405
block_3,3,327, on,512,23.566024780273438,-0.009616188704967499,1.0424550771713257
block_3,4,253, the,512,22.459211349487305,-0.01780666783452034,0.993377149105072
block_4,0,783,the,512,155.41607666015625,-0.021867472678422928,6.875167369842529
block_4,1,5798, cat,512,36.50035858154297,-0.008953875862061977,1.61465585231781
block_4,2,1790, sit,512,35.850975036621094,0.005523625761270523,1.5859441757202148
block_4,3,327, on,512,36.67649841308594,-0.0038833199068903923,1.6224679946899414
block_4,4,253, the,512,37.14628982543945,-0.013378355652093887,1.6432006359100342
block_5,0,783,the,512,48.52107620239258,-0.03072432428598404,2.1462254524230957
block_5,1,5798, cat,512,40.91218948364258,-0.013932650908827782,1.8097951412200928
block_5,2,1790, sit,512,43.049652099609375,-0.005819176323711872,1.9043958187103271
block_5,3,327, on,512,55.51840591430664,-0.0115756681188941,2.4559624195098877
block_5,4,253, the,512,48.20659255981445,-0.022371813654899597,2.1324167251586914
final_layer_norm,0,783,the,512,34.19292068481445,-0.08132714033126831,1.510413646697998
final_layer_norm,1,5798, cat,512,45.236358642578125,-0.05715120956301689,2.0003209114074707
final_layer_norm,2,1790, sit,512,49.2064094543457,-0.050053562968969345,2.1761865615844727
final_layer_norm,3,327, on,512,57.895286560058594,-0.049677975475788116,2.5606539249420166
final_layer_norm,4,253, the,512,55.5811653137207,-0.050208672881126404,2.458252191543579
lm_head_logits,0,783,the,50304,354.86956787109375,0.3485058546066284,1.5433791875839233
lm_head_logits,1,5798, cat,50304,585.7528686523438,0.6997846961021423,2.516164779663086
lm_head_logits,2,1790, sit,50304,597.4295654296875,0.7720901966094971,2.5493743419647217
lm_head_logits,3,327, on,50304,772.7103271484375,1.4013221263885498,3.1473731994628906
lm_head_logits,4,253, the,50304,736.7147827148438,0.25024494528770447,3.275204658508301
