checkpoint,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,projection_1,projection_2,projection_3,projection_4
step27000,0,0,21825, clones,2,0,0.06295642256736755,0.0642952173948288,0.029814815148711205,-0.013442263007164001
step27000,0,1,23778, motive,8,2,-0.012274196371436119,-0.04410058632493019,-0.02414993941783905,-0.018150728195905685
step27000,0,2,19211, cabinet,33,5,-0.02075986936688423,-0.037020958960056305,0.005321561824530363,0.03873564675450325
step27000,0,3,6574, miles,404,7,0.016261883080005646,-0.02321411482989788,0.029980968683958054,-0.012481900863349438
step27000,1,0,21825, clones,2,0,0.3159927427768707,0.11125586926937103,2.5577430725097656,0.022663593292236328
step27000,1,1,23778, motive,8,2,0.33310258388519287,-1.4354077577590942,-1.0072600841522217,0.003925710916519165
step27000,1,2,19211, cabinet,33,5,2.0233821868896484,-1.2177969217300415,-2.2270188331604004,1.1139875650405884
step27000,1,3,6574, miles,404,7,2.7140769958496094,1.021499514579773,0.19306987524032593,-1.008818507194519
step27000,2,0,21825, clones,2,0,-0.7804976105690002,1.5354690551757812,4.502043724060059,-2.0870978832244873
step27000,2,1,23778, motive,8,2,0.5083662867546082,-2.3392786979675293,0.526237428188324,-1.3912471532821655
step27000,2,2,19211, cabinet,33,5,1.83839750289917,-0.25237250328063965,-2.76728892326355,0.5911012887954712
step27000,2,3,6574, miles,404,7,0.8255438804626465,0.9016279578208923,2.0898265838623047,-2.7252583503723145
step27000,3,0,21825, clones,2,0,-2.4001760482788086,-0.12055391073226929,2.610145330429077,-3.166121006011963
step27000,3,1,23778, motive,8,2,0.22076255083084106,-2.359741449356079,1.0701870918273926,-2.9227840900421143
step27000,3,2,19211, cabinet,33,5,1.8624505996704102,-0.15526551008224487,-2.916330099105835,-0.07245022058486938
step27000,3,3,6574, miles,404,7,-0.48971110582351685,-0.01723790168762207,0.6965988874435425,-2.967672824859619
step27000,4,0,21825, clones,2,0,-2.054175853729248,-0.6034262180328369,1.4542088508605957,-3.48201060295105
step27000,4,1,23778, motive,8,2,0.0752413272857666,-2.3381643295288086,0.6321120262145996,-2.0488948822021484
step27000,4,2,19211, cabinet,33,5,2.2258856296539307,-0.5162061452865601,-2.4042701721191406,0.5671062469482422
step27000,4,3,6574, miles,404,7,-1.5415691137313843,-0.715660810470581,0.4697326123714447,-3.1670050621032715
step27000,5,0,21825, clones,2,0,-1.0919909477233887,-0.8098229169845581,0.6773831248283386,-3.397209882736206
step27000,5,1,23778, motive,8,2,0.17569124698638916,-1.703109622001648,-0.24464094638824463,-0.8147718906402588
step27000,5,2,19211, cabinet,33,5,2.3397045135498047,-1.1641838550567627,-1.621471643447876,0.883696973323822
step27000,5,3,6574, miles,404,7,-2.0860466957092285,-0.6825071573257446,0.5905644297599792,-3.0474801063537598
step27000,6,0,21825, clones,2,0,-0.5487223863601685,-1.1099896430969238,-0.18357592821121216,-2.7373416423797607
step27000,6,1,23778, motive,8,2,-0.021903395652770996,-0.951734185218811,-0.9721190929412842,-0.11397027969360352
step27000,6,2,19211, cabinet,33,5,2.139467239379883,-1.6704144477844238,-1.1404550075531006,0.6616687774658203
step27000,6,3,6574, miles,404,7,-2.3551454544067383,-0.4719434082508087,0.5310406684875488,-2.49037766456604
step27000,7,0,21825, clones,2,0,-0.6843104362487793,-1.2734066247940063,-1.0817174911499023,-1.8418335914611816
