active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,operator_update,product_gain_max,product_gain_mean,product_log_gain_max,product_log_gain_mean,product_probes,product_start_count,product_window,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.2319426954177451,0.22986071249113615,-0.7306324701678453,-0.7351408756860108,4,31,2,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.06920489779018252,0.06741260862199294,-0.6676709103870833,-0.6742308017541632,4,29,4,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.012651175604539136,0.011177448597200053,-0.5462506418701847,-0.561732131080129,4,25,8,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.2290581157003504,0.2282345270086024,-0.7368897636369042,-0.7386907757357328,4,31,2,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.0668773348827639,0.06617866788013065,-0.6762237900601659,-0.6788492763572708,4,29,4,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.011260107657382867,0.010821748953525345,-0.560811136908733,-0.5657746722274826,4,25,8,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,32,2,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.23375420343597197,0.23031143228667164,-0.726742564180621,-0.7341614162711338,4,31,2,1.0,2,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,32,2,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.07122862771169779,0.06770980960729187,-0.6604651166930107,-0.673131052843291,4,29,4,1.0,2,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,32,2,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.013167021448399124,0.011241114407854033,-0.5412549938322697,-0.5610221616031327,4,25,8,1.0,2,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,3,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,direct,0.2292378087920519,0.22825359233978895,-0.736497673960111,-0.7386490105059501,4,31,2,1.0,3,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
