active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,0.45089706778526306,0.0022133702877908945,0.7627437114715576,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.11511915518184374,-0.06755586109428541,direct,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,0.8264800310134888,0.005017627030611038,1.3619229793548584,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.11511915518184374,-0.06755586109428541,direct,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,1.419487714767456,0.013074962422251701,2.21848726272583,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.11511915518184374,-0.06755586109428541,direct,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,2.265801429748535,0.04690933972597122,3.1547555923461914,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.11511915518184374,-0.06755586109428541,direct,1.0,0,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,1.469832420349121,0.007339816074818373,2.471482753753662,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07705267497668708,-0.08010206251267023,direct,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,2.697598934173584,0.016676509752869606,4.4205498695373535,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07705267497668708,-0.08010206251267023,direct,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,4.641617774963379,0.043509360402822495,7.217978000640869,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07705267497668708,-0.08010206251267023,direct,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,7.423484802246094,0.15591362118721008,10.288419723510742,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07705267497668708,-0.08010206251267023,direct,1.0,1,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,32,2,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,0.36280420422554016,0.0017572804354131222,0.6168007850646973,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.32724202296946603,-0.03490797657631142,direct,1.0,2,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
2560,32,2,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,0.6642812490463257,0.003988152835518122,1.0996854305267334,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.32724202296946603,-0.03490797657631142,direct,1.0,2,64,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
