active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,64,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,0.2220197170972824,5.0043832743540406e-05,0.5805338621139526,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.10037066347868522,-0.035920082982025626,direct,1.0,0,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,0.4002285599708557,5.5909909860929474e-05,1.0333611965179443,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.10037066347868522,-0.035920082982025626,direct,1.0,0,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,0.6632598638534546,6.21340805082582e-05,1.6724787950515747,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.10037066347868522,-0.035920082982025626,direct,1.0,0,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,0.9742037653923035,8.791494474280626e-05,2.3487372398376465,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.10037066347868522,-0.035920082982025626,direct,1.0,0,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,1.2977347373962402,0.0002640260790940374,2.8469297885894775,16,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.10037066347868522,-0.035920082982025626,direct,1.0,0,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,64,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,1.9865131378173828,0.008347629569470882,3.3684277534484863,32,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.10037066347868522,-0.035920082982025626,direct,1.0,0,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,64,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,0.723743200302124,0.0001559947122586891,1.8827879428863525,1,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07353093389102643,-0.040782017063098565,direct,1.0,1,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,64,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,1.3063454627990723,0.00017520792607683688,3.3570919036865234,2,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07353093389102643,-0.040782017063098565,direct,1.0,1,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,64,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,2.1688523292541504,0.0002042848354903981,5.446397304534912,4,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07353093389102643,-0.040782017063098565,direct,1.0,1,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,64,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_projection64,26b7b5702e85f3f48652a95f9be74e23223244d1,"[1, 64, 512]",inputs_embeds,3.1919562816619873,0.0002784966491162777,7.667780876159668,8,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.07353093389102643,-0.040782017063098565,direct,1.0,1,64,final_hidden,2026-07-09T12:34:12.832263+00:00,nonpad_flattened,EleutherAI/pythia-70m
