output_scale,lag_window,lag_distance_mean
1.0,1,0.00011638519390544388
1.0,2,0.00012008361318294192
1.0,4,0.000135943004352157
1.0,8,0.00014541009295498952
1.0,16,0.00015054625509947073
1.0,32,0.00015333984629251063
2.0,1,0.000579602212383179
2.0,2,0.0010400553146610036
2.0,4,0.0018059251015074551
2.0,8,0.002889193216105923
2.0,16,0.004146798106376082
2.0,32,0.006393400311935693
2.5,1,0.001944028539583087
2.5,2,0.003606066311476752
2.5,4,0.0064577312441542745
2.5,8,0.010762702906504273
2.5,16,0.016479960177093744
2.5,32,0.02699486375786364
